Geography,percentMinority,RecFacName,RecZip,RecPcntNonwhite
average,37.54902778,KW Plastics,36079,44.1
601,99.66,KW Plastics,36079,44.1
602,99.6,KW Plastics,36079,44.1
603,99.07,Giant Resources Recovery - Attalla,35954,2.4
606,99.59,Giant Resources Recovery - Attalla,35954,2.4
610,99.47,Giant Resources Recovery - Attalla,35954,2.4
612,99.47,Giant Resources Recovery - Attalla,35954,2.4
616,99.76,Giant Resource Recovery - Attalla Inc,35954,2.4
617,99.67,Giant Resource Recovery - Attalla,35954,2.4
622,98.43,Giant Resource Recovery - Attalla,35954,2.4
623,99.37,Giant Resource Recovery - Attalla Inc,35954,2.4
624,99.65,"Gannon & Scott (Phoenix, AZ)",85034,12.7
627,99.58,World Resources Company,85353,22.1
631,99.68,World Resources Company,85353,22.1
637,99.64,World Resources Company,85353,22.1
638,99.8,World Resources Company,85353,22.1
641,99.65,World Resources Company,85353,22.1
646,98.81,World Resources Company,85353,22.1
647,99.45,World Resources Company,85353,22.1
650,99.62,World Resources Company,85353,22.1
652,99.24,World Resources Company,85353,22.1
653,99.65,World Resources Company,85353,22.1
656,99.77,World Resources Company,85353,22.1
659,99.48,World Resources Company,85353,22.1
660,99.68,World Resources Company,85353,22.1
662,99.36,World Resources Company,85353,22.1
664,99.81,World Resources Company,85353,22.1
667,99.52,World Resources Company,85353,22.1
669,99.5,World Resources Company,85353,22.1
670,99.58,World Resources Company,85353,22.1
674,99.51,RINECO,72015,9.3
676,99.65,RINECO,72015,9.3
677,97.15,Clean Harbors El Dorado,71730,76
678,99.54,Clean Harbors El Dorado,71730,76
680,99.42,Clean Harbors El Dorado,71730,76
682,99.37,"Clean Harbors El Dorado, LLC",71730,76
683,99.51,"Clean Harbors El Dorado, LLC",71730,76
685,99.57,"Clean Harbors El Dorado, LLC",71730,76
687,99.67,"Clean Harbors El Dorado, LLC",71730,76
688,99.58,"Clean Harbors El Dorado, LLC",71730,76
690,99.06,"Clean Harbors El Dorado, LLC",71730,76
692,99.3,"Clean Harbors El Dorado, LLC",71730,76
693,99.53,"Clean Harbors El Dorado, LLC",71730,76
694,99.7,"Clean Harbors El Dorado, LLC",71730,76
698,99.71,"Clean Harbors El Dorado, LLC",71730,76
703,99.7,"Clean Harbors El Dorado, LLC",71730,76
704,99.8,"Clean Harbors El Dorado, LLC",71730,76
705,99.56,"Clean Harbors El Dorado, LLC",71730,76
707,99.57,Clean Harbors El Dorado,71730,76
714,99.51,Clean Harbors El Dorado,71730,76
715,99.89,Clean Harbors El Dorado,71730,76
716,99.3,Clean Harbors El Dorado,71730,76
717,99.34,Clean Harbors El Dorado,71730,76
718,99.54,Clean Harbors El Dorado,71730,76
719,99.73,Clean Harbors El Dorado,71730,76
720,99.74,Clean Harbors El Dorado,71730,76
723,99.69,Clean Harbors El Dorado,71730,76
725,99.48,Clean Harbors El Dorado,71730,76
727,99.56,Clean Harbors El Dorado,71730,76
728,99.57,Clean Harbors El Dorado,71730,76
729,99.62,Clean Harbors El Dorado,71730,76
730,99.56,Clean Harbors El Dorado,71730,76
731,99.67,Clean Harbors El Dorado,71730,76
735,99.2,Clean Harbors El Dorado,71730,76
736,99.59,Clean Harbors El Dorado,71730,76
738,98.98,Clean Harbors El Dorado,71730,76
739,99.65,Clean Harbors El Dorado,71730,76
740,98.74,Clean Harbors El Dorado,71730,76
741,99.07,Clean Harbors El Dorado,71730,76
745,99.4,Clean Harbors El Dorado,71730,76
751,99.56,Clean Harbors El Dorado,71730,76
754,99.7,Clean Harbors El Dorado,71730,76
757,99.76,Clean Harbors El Dorado,71730,76
765,95.58,Clean Harbors El Dorado,71730,76
766,99.8,Clean Harbors El Dorado,71730,76
767,99.68,Clean Harbors El Dorado,71730,76
769,99.73,Clean Harbors El Dorado,71730,76
