name,Receiving Facility Street Address,Receiving Facility City,Receiving Facility State/Province,Receiving Facility Zip/Mailing Code,Receiving Facility Country,latitude,longitude,id
"CUSTOM ENVIRONMENTAL SERVICES, LTD.",7722 9TH STREET,EDMONTON,ALBERTA,T61 1L6,CANADA,53.51401,-113.36102,CUS53
STABLEX CANADA INC,760 BOULEVARD INDUSTRIEL,BLAINVILLE,QUEBEC,J7C 3V4,CANADA,45.6707217,-73.8602547,STA45
CHEMREC INC,190 BROSSEAU,COWANSVILLE,QUEBEC,J2K 3G6,CANADA,45.22288,-72.77512,CHE45
CRI ENVIRONMENT INC,75 DU PROGRESS STREET,COTEAU DU LAC,QUEBEC,J0P 1B0,CANADA,45.29627,-74.20416,CRI45
CHEM TECH ENVIRONMENTAL,1223 MONTEE DE LA POMME D'OR,CONTRECOEUR,QUEBEC,,CANADA,45.84123,-73.24484,CHE45
CLEAN HARBORS INC,R.R #1 4090 TELFER ROAD,CORUNNA,ONTARIO,N0N 1G0,CANADA,42.8785,-82.30195,CLE42
"NOVA PB, INC (SUBSIDIARY OF NEWALTA)",1200 RUE GARNIER,VILLE STE. CATHERINE,QUEBEC,J0L 1E0,CANADA,45.4020369,-73.6012997,NOV45
PHOTECH ENVIRONMENTAL SOLUTIONS INC,600 READ ROAD,ST. CATHARINES,ONTARIO,L2R 7K6,CANADA,43.22167,-79.20314,PHO43
CLEAN HARBORS INC,1829 ALLANPORT ROAD,THOROLD,ONTARIO,L2V 3Y9,CANADA,43.06098,-79.20001,CLE43
CLEAN HARBORS INC,551 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,L5J 4B1,CANADA,43.4981162,-79.626647,CLE43
TOXCO WASTE MANAGEMENT,9384 HIGHWAY 22A,TRAIL,BRITISH COLUMBIA,V1R 4L5,CANADA,,,TOX
HOTZ ENVIRONMENTAL SERVICES,239 LOTTRIDGE STREET,HAMILTON,ONTARIO,L8L 6W1,CANADA,43.25801,-79.83131,HOT43
NORANDA INC - KIDD METALLURGICAL DIVISION (FALCONBRIDGE),HIGHWAY 101 EAST,TIMMINS,ONTARIO,P4N 7K1,CANADA,,,NOR
FIELDING CHEMICAL TECHNOLOGIES INC,3549 MAVIS ROAD,MISSISSAUGA,ONTARIO,L5C 1T7,CANADA,43.5778899,-79.6478,FIE43
CLEAN HARBORS INC,2258 RIVER ROAD,LONDON,ONTARIO,N5W 6C2,CANADA,42.9791,-81.1378,CLE42
CYANIDE DESTRUCT SERVICES,293 SAUNDERS ROAD,BARRIE,ONTARIO,L4M 6E7,CANADA,44.33466,-79.66607,CYA44
SERVICES SANITAIRES DE RECYCLAGE EXPERT INC,8381 PLACE MARIEN,MONTREAL-EST,QUEBEC,H1B 5W6,CANADA,45.64239,-73.53895,SER45
MET TECH INC.,"2395 SPEAKMAN DR., PILOT PLANT",MISSISSAUGA,ONTARIO,L5K 1B3,CANADA,43.5192336,-79.6601207,MET43
CLEAN HARBORS INC,P.O. BOX 390,RYLEY,ALBERTA,T0B4A0,CANADA,,,CLE
"INTERNATIONAL MARINE SALVAGE, INC.",17 INVERTOSE DRIVE,PORT COLBORNE,ONTARIO,L3K 5V7,CANADA,42.92283,-79.25346,INT42
CLEAN HARBORS INC,"CONCESSION ROAD, C.P. 280, 5E RANGE",THURSO,QUEBEC,J0X 3B0,CANADA,45.6112221,-76.4787896,CLE45
FALCONBRIDGE/NORANDA,101 PORTELANCE AVENUE,ROUYN-NORANDA,QUEBEC,J9X 1P5,CANADA,48.2508317,-79.0145261,FAL48
ONTARIO POWER GENERATION,"4TH CONCESSION, COUNTY ROAD 20, BOX 2000",TIVERTON,ONTARIO,N0G 2T0,CANADA,44.2506812,-81.3956537,ONT44
NEWALTA INDUSTRIAL SERVICES,1731 PETTIT RD,FORT ERIE,ONTARIO,L2A 5M4,CANADA,42.92318,-78.96801,NEW42
"NORANDA METALLURGY, INC. - HORNE SMELTER (FALCONBRIDGE)",156 AVENUE REAL-CAOUTTE,ROUYN-NORANDA,QUEBEC,J9X 1C7,CANADA,48.2918803,-79.0293209,NOR48
HORIZON ENVIRONMENT INC,120 ROUTE 155,GRANDES-PILES,QUEBEC,G0X 1H0,CANADA,46.6709862,-72.6774056,HOR46
"COMINCO METALS, DIVISION OF COMINCO, LTD.",1000 ALDRIDGE AVE.,TRAIL,BRITISH COLUMBIA,V1R 4L8,CANADA,,,COM
SOLUTION EAU AIR SOL,8365 AVENUE BROADWAY NORD,MONTREAL-EST,QUEBEC,H1B 5X7,CANADA,45.64219,-73.55061,SOL45
RECUPERE SOL INC,80 RUE DES MELEZES,SAINT-AMBROISE,QUEBEC,G7P 2N4,CANADA,48.5400533,-71.292465,REC48
ENVIROGREEN TECHNOLOGIES LTD,"LELA, LOT 401, SIMILCO MINE",PRINCETON,BRITISH COLUMBIA,V0X 1W0,CANADA,,,ENV
GSI ENVIRONMENTAL,855 RUE PEPIN,SHERBROOK,QUEBEC,J1L 2P8,CANADA,45.41173,-71.96868,GSI45
EXTOX INDUSTRIES INC,6419 NETHERHART ROAD,MISSISSAUGA,ONTARIO,L5T 1C3,CANADA,43.67102,-79.64624,EXT43
CLEAN HARBORS INC,6785 ROUTE 132,SAINTE-CATHERINE,QUEBEC,J0L 1E0,CANADA,45.3951205,-73.5970884,CLE45
CLEAN HARBORS INC,1294 STE-MARGUERITE,MERCIER,QUEBEC,J6R 2L1,CANADA,45.2893778,-73.7372896,CLE45
CLEAN HARBORS INC,2 KM NORTH FROM HIGHWAY 14 ON SR 854,RYLEY,ALBERTA,T0B 4A0,CANADA,,,CLE
TRANSPORT ROLLEX LTEE,910 BOUL LIONEL BOULET,VARENNES,QUEBEC,J3X 1T6,CANADA,45.6451772,-73.4078768,TRA45
"WEST COAST MATERIALS MANAGEMENT, INC.",11505-97A AVE,SURREY,BRITISH COLUMBIA,V3V 2G3,CANADA,49.1799749,-122.9043024,WES49
FALCONBRIDGE LTD / XSTRATA CANADA CORPORATION,156 MARCEL-BARIL AVENUE,ROUYN-NORANDA,QUEBEC,J9X 7C1,CANADA,48.2591909,-79.0147007,FAL48
"ZINC NACIONAL, S.A.","SERAFIN PENA 938 - SUR, APDO #3863",MONTERREY,NUEVO LEON,64000,MEXICO,25.66874,-100.32619,ZIN25
CLEAN HARBORS INC,7842 PROGRESS WAY,DELTA,BRITISH COLUMBIA,V4G 1A4,CANADA,49.1382395,-123.0064033,CLE49
"SENSOR ENVIRONMENTAL SERVICES, LTD - SWAN HILLS TREATMENT CENTER",NE 1/4 SEC. 6-67-9 WSM,SWAN HILLS,ALBERTA,,CANADA,,,SEN
FALCONBRIDGE/NORANDA,101 PORTELANCE AVENUE,ROUYN-NORANDA,QUEBEC,J9X 5B6,CANADA,48.2508317,-79.0145261,FAL48
"SMC (CANADA), LTD.",MCALPINE SITE/COLEMAN TOWNSHIP,COBALT,ONTARIO,P0J1C0,CANADA,,,SMC
CLEAN HARBORS INC,"265 NORTH FRONT STREET, SUITE #502",SARNIA,ONTARIO,N7T 7X1,CANADA,42.9755579,-82.4072932,CLE42
LAFARGE CEMENT,1 LAFARGE STREET,ST. CONSTANT,QUEBEC,J5A 2G4,CANADA,,,LAF
#N/A,,,,,CANADA,62.8329086,-95.9133224,#N/A
RECICLADORA TEMARRY DE MEXICO,"KM 121, CARRETERA FEDERAL #2, MEXICALI-TIJUANA COL SAN JOSE",TECATE,BAJA CALIFORNIA,21530,MEXICO,32.5768374,-116.6136287,REC32
ONTARIO POWER GENERATION,"BULDING 23, BOX 2000",TIVERTON,ONTARIO,N0G 2T0,CANADA,,,ONT
FALCONBRIDGE LTD / XSTRATA CANADA CORPORATION,156 MARCEL-BARIL AVENUE,ROUYN-NORANDA,QUEBEC,J9X7C1,CANADA,48.2591909,-79.0147007,FAL48
PHASE SEPARATION,2-17-10 WEST 2ND,WOLSELEY,SASKATCHEWAN,S0G 5H0,CANADA,,,PHA
RECAPTURE METALS LIMITED,625 NEAL DRIVE,PETERBOROUGH,ONTARIO,K9J6X7,CANADA,44.27581,-78.29994,REC44
XSTRATA CORP,692 MAIN STREET,BELLEDUNE,NEW BRUNSWICK,E8G 2M1,CANADA,47.8965538,-65.830789,XST47
ST. MARYS CEMENT,585 WATER STREET SOUTH,ST. MARYS,ONTARIO,N4X 1B6,CANADA,,,ST.
RECUPERE SOL INC,80 RUE DES MELEZES,SAINT-AMBROISE,QUEBEC,G7P2N4,CANADA,48.5400533,-71.292465,REC48
HERITAGE ENVIRONMENTAL SERVICES,7701 W. MORRIS ST.,INDIANAPOLIS,IN,46231,USA,39.7494793,-86.2972319,HER39
GOPHER RESOURCE,3385 S. HWY 149,EAGAN,MN,55121,USA,44.8180809,-93.16716,GOP44
NEWALTA,1200 GARNIER VILLE,ST. CATHERINE,QUEBEC,J5C 1B4,CANADA,45.4020369,-73.6012997,NEW45
ENVIROGREEN TECHNOLOGIES LTD,"LELA, LOT 401, SIMILCO MINE",PRINCETON,BC,V0X 1W0,CANADA,,,ENV
STABLEX CANADA INC,760 BOULEVARD INDUSTRIEL,BLAINVILLE,QUEBEC,J7C3V4,CANADA,45.6707217,-73.8602547,STA45
NEWALTA CORPORATION,1131 SNOW VALLEY ROAD,BARRIE,ONTARIO,L5M45S5,CANADA,44.43435,-79.73776,NEW44
CLEAN HARBORS,4090 TELFER ROAD,CORUNNA,ONTARIO,N0N1G0,CANADA,42.8785,-82.30195,CLE42
FIELDING CHEMICAL TECHNOLOGIES INC,3549 MAVIS ROAD,MISSISSAUGA,ONTARIO,L5C1T7,CANADA,43.5778899,-79.6478,FIE43
HERITAGE ENVIRONMENTAL SERVICES,7901 W MORRIS ST,INDIANAPOLIS,IN,46231,CANADA,,,HER
NEWALTA,1209 GARNIER,VILLE STE. CATHERINE,QUEBEC,J5C1B4,CANADA,45.4020324,-73.6009151,NEW45
TOXCO WASTE MANAGEMENT,384 HIGHWAY 22A,TRAIL,BRITISH COLUMBIA,V1R2Y8,CANADA,,,TOX
CRI ENVIRONMENT INC,75 RUE DU PROGRES,COTEAU DU LAC,QUEBEC,J0P1B0,CANADA,45.29627,-74.20416,CRI45
ENVIROGREEN TECHNOLOGIES LTD,"LELA, LOT 401, SIMILCO MINE",PRINCETON,BRITISH COLUMBIA,V0X1W0,CANADA,,,ENV
ENGLOBE CORP,8365 BROADWAY NORD,MONTREAL,QUEBEC,H1B5X7,CANADA,45.64219,-73.55061,ENG45
HORIZON ENVIRONMENT INC,120 ROUTE 155,GRANDES-PILES,QUEBEC,G0X1H0,CANADA,46.6709862,-72.6774056,HOR46
