id,USExporterSiteName,US Exporter Site Street Address,US Exporter Site City,US Exporter Site State,US Exporter Site Zip Code,latitude,longitude
AZD009015389,ROMIC ENVIRONMENTAL TECHNOLOGIES,6760 W. ALLISON ROAD,CHANDLER,AZ,85226,33.2882262,-111.958051
CAD028409019,"CROSBY & OVERTON, INC.",1610 WEST 17TH STREET,LONG BEACH,CA,90813,33.7878914,-118.2140961
CAD008252405,PACIFIC RESOURCE RECOVERY,8150 EAST PICO BOULEVARD,LOS ANGELES,CA,90023,34.0179787,-118.2069626
NCD980842132,ECOFLO INC,2750 PATTERSON STREET,GREENSBORO,NC,27407,36.058181,-79.8370477
CAD980884183,GENERAL ENVIRONMENTAL MANAGEMENT,11855 WHITE ROCK ROAD,RANCHO CORDOVA,CA,95742,38.5933952,-121.2361755
ME7170022019,PORTSMOUTH NAVAL SHIPYARD,CODE 106.32 BLDG 357,KITTERY,ME,3904,43.1137123,-70.7331085
WID003967148,ONYX ENVIRONMENTAL SERVICES,W124 N9451 BOUNDARY ROAD,MENOMONEE FALLS,WI,53051,43.1749611,-88.1139145
WID988580056,"BADGER DISPOSAL OF WI., INC.",5611 WEST HEMLOCK STREET,MILWAUKEE,WI,53223,43.1516261,-87.9825792
ME5000001313,FAIRCHILD SEMICONDUCTOR CORPORATION,333 WESTERN AVENUE,SOUTH PORTLAND,ME,4106,43.6404794,-70.3266768
NCD982170292,"ENVIROCHEM, INC.",1005 INVESTMENT BOULEVARD,APEX,NC,27502,35.7256699,-78.8379669
OHD083377010,ENVIRONMENTAL ENTERPRISES INC,4650 SPRING GROVE AVENUE,CINCINNATI,OH,45232,39.1646846,-84.5178927
OHD093945293,ONYX ENVIRONMENTAL SERVICES,4301 INFIRMARY ROAD,WEST CARROLLTON,OH,45449,39.683826,-84.277519
PAD981945157,ONYX ENVIRONMENTAL SERVICES,3100 HEDLEY STREET,PHILADELPHIA,PA,19137,39.9885359,-75.0710727
PAD067098822,CYCLE CHEM OF LEWISBERRY INC,550 INDUSTRIAL DRIVE,LEWISBERRY,PA,17339,40.1667137,-76.8381805
PAD085690592,REPUBLIC ENVIRONMENTAL SYSTEMS,2869 SANDSTONE DRIVE,HATFIELD,PA,19440,40.2912445,-75.2829971
NJD002200046,"CYCLE CHEMICAL, INC.",217 SOUTH 1ST STREET,ELIZABETH,NJ,7206,40.6446384,-74.1942063
NYD049178296,RADIAC RESEARCH CORP.,33 S 1ST STREET,BROOKLYN,NY,11211,40.715579,-73.965835
NYD082785429,CHEMICAL POLLUTION CONTROL INC,120 SOUTH FOURTH STREET,BAY SHORE,NY,11706,40.7622604,-73.2897491
NJD980536593,ONYX ENVIRONMENTAL SERVICES,1 EDEN LANE,FLANDERS,NJ,7836,40.8793221,-74.6994781
OHD066060609,CHEMTRON CORPORATION,35850 SCHNEIDER COURT,AVON,OH,44011,41.472007,-82.016258
CAD009452657,ROMIC ENVIRONMENTAL TECHNOLOGIES,2081 BAY ROAD,EAST PALO ALTO,CA,94303-1316,37.476364,-122.129112
NYD049253719,ASHLAND CHEMICAL CO.,3 BROAD STREET,BINGHAMTON,NY,13902,42.1198196,-75.8906479
NYD013707708,"TAYLOR METALWORKS, INC.",3925 CALIFORNIA ROAD,ORCHARD PARK,NY,14127,42.7774467,-78.7772598
NYD981485709,MICROFOAM INC.,31 FAASS STREET,UTICA,NY,13501,43.1079407,-75.2528305
WVD981107600,"AMERICAN ENVIRONMENTAL SERVICES, INC.",1750 MORGANTOWN INDUSTRIAL PARK,MORGANTOWN,WV,26501,39.6076374,-79.9762879
MID074246919,SOLUTIA INCORPORATED,5100 WEST JEFFERSON AVENUE,TRENTON,MI,48183,42.1205482,-83.1906433
MAD047075734,"GEOCHEM, INC. D/B/A JET-LINE OF LOWELL",263 HOWARD STREET,LOWELL,MA,1852,42.6327829,-71.3138189
PAD030069140,"CHEMFIRST FINE CHEMICALS, INC.","2 ADAMS AVENUE, TYRONE INDUSTRIAL PARK",TYRONE,PA,16686,,
MAN000104180,BAY STATE PLATING AND POLISHING INC,300 CANAL STREET,LAWRENCE,MA,,42.7053452,-71.1600113
CTD001180728,BRIDGEPORT FITTINGS INC,705 LORDSHIP BOULEVARD,STRATFORD,CT,6497,41.1683652,-73.1473696
ILD000608471,CLEAN HARBORS INC,11800 SOUTH STONY ISLAND AVENUE,CHICAGO,IL,60617,41.6820145,-87.5873184
NCD000648451,CLEAN HARBORS INC,208 WATLINGTON INDUSTRIAL DRIVE,REIDSVILLE,NC,27320,36.3204765,-79.6475906
KYD985073196,"LWD, INC - SHAR CAL FACILITY",1637 SHAR-CAL ROAD,CALVERT CITY,KY,42029,37.0497843,-88.4034654
CTD134204916,G & K SERVICES,BOYDEN STREET,WATERBURY,CT,6704,41.5884285,-73.0395737
MID980991566,"US LIQUIDS OF DETROIT, INC.",1923 FREDERICK STREET,DETROIT,MI,48211,42.3659856,-83.0476774
OHD980897656,CHEMICAL SOLVENTS INC,1010 DENISON ROAD,CLEVELAND,OH,44109,41.4518297,-81.6896434
NJD002454544,MARISOL INCORPORATED,125 FACTORY LANE,MIDDLESEX,NJ,8876,40.5608101,-74.5203857
MDD980555189,CLEAN HARBORS INC,1910 RUSSELL STREET,BALTIMORE,MD,21230,39.2721936,-76.6304091
OHD980568992,"ENVIRITE OF OHIO, INC.",2050 CENTRAL AVENUE SOUTH EAST,CANTON,OH,44707,40.7760162,-81.3690796
MID000724831,WAYNE DISPOSAL INC - MICHIGAN DISPOSAL WASTE TREATMENT PLANT,49350 N. I-94 SERVICE DRIVE,BELLEVILLE,MI,48111,42.2208595,-83.5246201
MAD019371079,GENERAL CHEMICAL CORPORATION,138 LELAND STREET,FRAMINGHAM,MA,1702,42.27145,-71.4012604
CAR000146449,"TOXCO, INC. - ANAHEIM, CA FACILITY",125 EAST COMMERCIAL STREET,ANAHEIM,CA,92801,33.8537064,-117.9191132
WAD991281767,"BURLINGTON ENVIRONMENTAL D/B/A PHILIP ENVIRONMENTAL - KENT, WA FACILITY",20245 - 77TH AVE. SOUTH,KENT,WA,98032,47.4195014,-122.237963
MID000809632,DOW CORNING CORPORATION,3901 S. SAGINAW ROAD,MIDLAND,MI,48686,43.589695,-84.2012482
MAD053452637,CLEAN HARBORS INC,1 HILL AVENUE,BRAINTREE,MA,2184,42.2362223,-70.9749667
LAR000032789,CS METALS OF LOUISIANA - CONVENT FACILITY,7591 HWY 3214,CONVENT,LA,70723,30.0578374,-90.8248322
NYD049836679,CWM CHEMICAL SERVICES,1550 BALMER ROAD,MODEL CITY,NY,14107,43.224964,-78.971488
ILD980613913,SAFETY KLEEN ENVIROSYSTEMS CO - DOLTON RECYCLE CENTER,633 EAST 138TH STREET,DOLTON,IL,60419,41.6445632,-87.6070739
COD980591184,ONYX ENVIRONMENTAL SERVICES,9131 E. 96TH AVENUE,HENDERSON,CO,80640,39.8758965,-104.8828812
RID040098352,NORTHLAND ENVIRONMENTAL INC,275 ALLENS AVENUE,PROVIDENCE,RI,2905,41.8057594,-71.4036407
NJD045995693,"CASIE ECOLOGY OIL SALVAGE, INC.",3209 N. MILL ROAD,VINELAND,NJ,8360,39.5342216,-75.0572968
RID001201508,A.T. CROSS COMPANY,ONE ALBION ROAD,LINCOLN,RI,2865,41.9342537,-71.4831314
ILD005203476,FERRO PFANSTIEHL LABORATORIES,1219 GLEN ROCK AVENUE,WAUKEGAN,IL,60085,42.3543968,-87.8470917
MID074259565,"DYNECOL, INC.",6520 GEORGIA STREET,DETROIT,MI,48211,42.392868,-83.0325241
NYD002081396,"AYERST LABORATORIES, INC.",64 MAPLE STREET,ROUSES POINT,NY,12979,44.9886066,-73.3666161
MAR000503961,NEORESINS INC,730 MAIN STREET,WILMINGTON,MA,1887,42.5363749,-71.159785
MAD056019979,IDEAL TAPE COMPANY,1400 MIDDLESEX STREET,LOWELL,MA,1851,42.637104,-71.3419342
NYD002114643,AMERICAN PRECISION INDS (API)/BASCO DIV,2777 WALDEN AVENUE,BUFFALO,NY,14225,42.9080124,-78.7335358
PAD041399403,ENGELHARD CORPORATION,1729 EAST AVENUE,ERIE,PA,16503,42.1271597,-80.0560366
MEN00103680,COBB'S CUSTOM CHROMING,37-41 PERKINS STREET,BANGOR,ME,,44.7997093,-68.7939835
NYD987031648,WILCO FINISHING CORP.,1288 WILLOUGHBY AVENUE,BROOKLYN,NY,11237,40.7048187,-73.9216537
PAR000030874,COPPERHEAD CHEMICAL COMPANY,120 RIVER ROAD,TAMAQUA,PA,18252,40.7408707,-75.9748162
NYD002050177,"DAYTON T. BROWN, INC",CHURCH STREET,"BOHEMIA, LONG ISLAND",NY,11716,40.770256,-73.102123
NJD052451085,KDI TRIANGLE CORP,60 S. JEFFERSON ROAD,WHIPPANY,NJ,7981,40.8229942,-74.4398727
NJD986604007,QUALITY METAL FINISHING CORPORATION,80 GEORGE STREET,PATERSON,NJ,7503,40.896296,-74.1574654
NHD500003587,WAKEFIELD ENGINEERING,33 BRIDGE STREET,PELHAM,NH,3076,42.7038588,-71.3150822
NYD092472356,TOMPKINS METAL FINISHING,6 APOLLO DRIVE,BATAVIA,NY,14020,42.9949066,-78.2060614
NYD002227528,OWL WIRE AND CABLE INC,"3127 SENECA TURNPIKE, ROUTE 5",CANASTOTA,NY,13032,43.0694084,-75.7698059
NYD000094037,OWL WIRE AND CABLE INC,147 EAST CENTER STREET,CANASTOTA,NY,13032,43.0785217,-75.7469254
NJD986645984,BAYWAY REFINING COMPANY,1400 PARK AVENUE,LINDEN,NJ,7036,40.6406144,-74.2191555
RID059735761,ADVANCED CHEMICAL COMPANY,105 BELLOWS STREET,WARWICK,RI,2888,41.764283,-71.400233
