rcra,Year,exporter_key,exporter_name,exporter_address,exporter_city,exporter_state,exporter_country,exporterLAT,exporterLONG,un,hazWasteDesc,units_final,phase,totalQuantityinShipment,mgmt,ExpectedManagementMethod,ReceivingFacilityEPAIDNumber,importer_name,importer_address,importer_city,importer_state,receivingfacilityzipcode,input,filename,latitude,longitude
001017194 FLE,2007,E8A5312,APARATOS ELECTRICOS DE ACUNA,CARRETERA PRESA LA AMISTAD KM7,CIUDAD ACUNA,MEXICO,MEXICO,29.33128,-100.95312,UN1760,"Corrosive liquids, n.o.s.",l,liquids,20,H040,Incineration,TXD055141378,CLEAN HARBORS INC,2027 BATTLEGROUND ROAD,LA PORTE,TX,77571,Maira,,29.6941654,-95.0923502
001017583 FLE,2007,E8A5312,APARATOS ELECTRICOS DE ACUNA,CARRETERA PRESA LA AMISTAD KM7,CIUDAD ACUNA,MEXICO,MEXICO,29.33128,-100.95312,UN1993,"Flammable liquids, n.o.s.",l,liquids,20,H040,Incineration,TXD055141378,CLEAN HARBORS INC,2027 BATTLEGROUND ROAD,LA PORTE,TX,77571,Maira,,29.6941654,-95.0923502
000799223 JJK,2007,E5A4004,PRODUCTOS MARINE DE MEXICO,"CALLE OHM 8451, PARQUE INDUSTRIAL BERMUDEZ",CD. JUAREZ,CHIHUAHUA,MEXICO,31.71245,-106.4004,UN3077,"Environmentally hazardous substances, solid, n.o.s.",l,liquids,3391,H061,Fuel blending,TXD077603371,SAFETY-KLEEN,1722 COOPER CREEK ROAD,DENTON,TX,76208,Maira,,33.236881,-97.081161
000588561 JJK,2007,E4A0647,BLACK & DECKER HHI (PI),"CIRCUITO SIGLO XXI 1926, CTRO NEGOCIOS EX-XXI",MEXICALI,BAJA CALIFORNIA,MEXICO,32.64544,-115.40647,UN3077,"Environmentally hazardous substances, solid, n.o.s.",l,liquids,15291,H039,Other recovery,AZD980735500,WORLD RESOURCES COMPANY,8113 WEST SHERMAN STREET,TOLLESON,AZ,85353,Maira,,33.4396133,-112.2355118
000588697 JJK,2007,E4A0647,BLACK & DECKER HHI (PI),"CIRCUITO SIGLO XXI 1926, CTRO NEGOCIOS EX-XXI",MEXICALI,BAJA CALIFORNIA,MEXICO,32.64544,-115.40647,UN3077,"Environmentally hazardous substances, solid, n.o.s.",l,liquids,15291,H039,Other recovery,AZD980735500,WORLD RESOURCES COMPANY,8113 WEST SHERMAN STREET,TOLLESON,AZ,85353,Maira,,33.4396133,-112.2355118
000588706 JJK,2007,E4A0647,BLACK & DECKER HHI (PI),"CIRCUITO SIGLO XXI 1926, CTRO NEGOCIOS EX-XXI",MEXICALI,BAJA CALIFORNIA,MEXICO,32.64544,-115.40647,UN3077,"Environmentally hazardous substances, solid, n.o.s.",l,liquids,15291,H039,Other recovery,AZD980735500,WORLD RESOURCES COMPANY,8113 WEST SHERMAN STREET,TOLLESON,AZ,85353,Maira,,33.4396133,-112.2355118
000567661 JJK,2007,E7A0109,"PULIDOS INDUSTRIALES, SA DE CV (PLANTA II)","BLVD ALIVIO NTE 2DO, TIUJANA",TIJUANA,BAJA CALIFORNIA,MEXICO,32.54827,-116.90109,UN3077,"Environmentally hazardous substances, solid, n.o.s.",l,liquids,15291,H129,Other treatment,AZD980735500,WORLD RESOURCES COMPANY,8113 WEST SHERMAN STREET,TOLLESON,AZ,85353,Maira,,33.4396133,-112.2355118
000567667 JJK,2007,E7A0109,"PULIDOS INDUSTRIALES, SA DE CV (PLANTA II)","BLVD ALIVIO NTE 2DO, TIUJANA",TIJUANA,BAJA CALIFORNIA,MEXICO,32.54827,-116.90109,UN3077,"Environmentally hazardous substances, solid, n.o.s.",l,liquids,15291,H129,Other treatment,AZD980735500,WORLD RESOURCES COMPANY,8113 WEST SHERMAN STREET,TOLLESON,AZ,85353,Maira,,33.4396133,-112.2355118
000567776 JJK,2007,E7A0109,"PULIDOS INDUSTRIALES, SA DE CV (PLANTA II)","BLVD ALIVIO NTE 2DO, TIUJANA",TIJUANA,BAJA CALIFORNIA,MEXICO,32.54827,-116.90109,UN3077,"Environmentally hazardous substances, solid, n.o.s.",l,liquids,15291,H129,Other treatment,AZD980735500,WORLD RESOURCES COMPANY,8113 WEST SHERMAN STREET,TOLLESON,AZ,85353,Maira,,33.4396133,-112.2355118
000567880 JJK,2007,E7A0109,"PULIDOS INDUSTRIALES, SA DE CV (PLANTA II)","BLVD ALIVIO NTE 2DO, TIUJANA",TIJUANA,BAJA CALIFORNIA,MEXICO,32.54827,-116.90109,UN3077,"Environmentally hazardous substances, solid, n.o.s.",l,liquids,15291,H129,Other treatment,AZD980735500,WORLD RESOURCES COMPANY,8113 WEST SHERMAN STREET,TOLLESON,AZ,85353,Maira,,33.4396133,-112.2355118
