Geography,percentPoverty,RecFacName,RecZip,RecPcntPoverty,,
avg,15.37682818,KW Plastics,36079,20.7,,
601,59.1,KW Plastics,36079,20.7,,
602,54.3,KW Plastics,36079,20.7,,
603,50.1,Giant Resources Recovery - Attalla,35954,20.7,,
606,56.5,Giant Resources Recovery - Attalla,35954,20.7,,
610,50.5,Giant Resources Recovery - Attalla,35954,20.7,,
612,45.3,Giant Resources Recovery - Attalla,35954,20.7,,
616,47.3,Giant Resource Recovery - Attalla Inc,35954,20.7,,
617,53.8,Giant Resource Recovery - Attalla,35954,20.7,,
622,60.3,Giant Resource Recovery - Attalla,35954,20.7,,
623,47.8,Giant Resource Recovery - Attalla Inc,35954,20.7,,
624,60,"Gannon & Scott (Phoenix, AZ)",85034,44.6,,
627,44.7,World Resources Company,85353,11,,
631,51.9,World Resources Company,85353,11,,
637,49.7,World Resources Company,85353,11,,
638,60.2,World Resources Company,85353,11,,
641,55.7,World Resources Company,85353,11,,
646,35.8,World Resources Company,85353,11,,
647,54.1,World Resources Company,85353,11,,
650,54.7,World Resources Company,85353,11,,
652,50.6,World Resources Company,85353,11,,
653,66.9,World Resources Company,85353,11,,
656,53,World Resources Company,85353,11,,
659,46.1,World Resources Company,85353,11,,
660,32.8,World Resources Company,85353,11,,
662,55,World Resources Company,85353,11,,
664,52,World Resources Company,85353,11,,
667,60.4,World Resources Company,85353,11,,
669,62.9,World Resources Company,85353,11,,
670,57.5,World Resources Company,85353,11,,
674,46.9,RINECO,72015,15.4,,
676,52.7,RINECO,72015,15.4,,
677,53.4,Clean Harbors El Dorado,71730,36.6,,
678,57.7,Clean Harbors El Dorado,71730,36.6,,
680,50.9,Clean Harbors El Dorado,71730,36.6,,
682,52.7,"Clean Harbors El Dorado, LLC",71730,36.6,,
683,46.2,"Clean Harbors El Dorado, LLC",71730,36.6,,
685,55.3,"Clean Harbors El Dorado, LLC",71730,36.6,,
687,56.2,"Clean Harbors El Dorado, LLC",71730,36.6,,
688,59.4,"Clean Harbors El Dorado, LLC",71730,36.6,,
690,44.8,"Clean Harbors El Dorado, LLC",71730,36.6,,
692,50.2,"Clean Harbors El Dorado, LLC",71730,36.6,,
693,50.8,"Clean Harbors El Dorado, LLC",71730,36.6,,
694,84.1,"Clean Harbors El Dorado, LLC",71730,36.6,,
698,54.3,"Clean Harbors El Dorado, LLC",71730,36.6,,
703,54.7,"Clean Harbors El Dorado, LLC",71730,36.6,,
704,55,"Clean Harbors El Dorado, LLC",71730,36.6,,
705,48.4,"Clean Harbors El Dorado, LLC",71730,36.6,,
