source_id,registry_id,rcr_name,rcr_street,rcr_city,rcr_state,fac_lat,fac_long,fac_percent_minority,rcra_curr_snc,rcra_curr_compl_status,rcra_qtrs_in_nc,rcra_curr_violation_types,rcra_insp_cnt,rcra_iea_cnt,rcra_last_iea_date,rcra_fea_cnt,fac_map_flg
"AK1210022157","110060333928","USARMY FT RICHARDSON","730 QUARTERMASTER ROAD","ANCHORAGE","AK",61.25833,-149.7,40.88,"No","No Violation",0,"NA",0,0,08/19/2011,2,"Y"
"AK6210022426","110006002707","US ARMY GARRISON FORT WAINWRIGHT","ENTIRE MILITARY RESERVATION","FORT WAINWRIGHT","AK",64.823,-147.6106,33.973,"No","No Violation",3,"NA, PCR",2,1,08/05/2015,2,"Y"
"AK8570028649","110060333928","US DOD USAF JOINT BASE ELMENDORF-RICHARDSON","11735 VANDENBERG AVE","JBER","AK",61.25833,-149.7,40.88,"Yes","Significant Violation",3,"262.D, 264.B, 265.B, 265.I, NA",4,0,05/27/2010,2,"Y"
"AK9690330742","110064071506","USDHS USCG BASE SUPPORTKODIAK","ANTON LARSON BAY ROAD AND","KODIAK","AK",57.73833,-152.503763,20.414,"No","No Violation",3,"262.C, 264.B, 264.D, 264.I, 265.B, 265.I, 279.C, NA",7,3,04/08/2016,0,"Y"
"AKD000643239","110010681707","BP EXPLORATION ALASKA PRUDHOE BAY","PRUDHOE BAY UNIT","PRUDHOE BAY","AK",70.257845,-148.435373,17.391,"No","No Violation",2,"265.I, 273.B, NA",4,2,09/13/2013,0,"Y"
"AKD048679682","110017413299","TESORO ALASKA COMPANY LLC KENAI REFINERY","54741 TESORO RD","KENAI","AK",60.683603,-151.367204,15.477,"No","No Violation",3,"262.C, 265.D, 265.I, 273.B, NA",1,1,03/04/2015,0,"Y"
"AL0000998013","110009040411","CAMMCO INC","HOLLIS CROSSROADS","HOLLIS CROSSROADS","AL",33.532172,-85.64492,17.579,"No","No Violation",2,"265.E, NA",2,0,09/05/2001,0,"Y"
"AL1800013863","110000601947","GEORGE C. MARSHALL SPACE FLIGHT CENTER","MARSHALL SPACE FLIGHT CENTER","HUNTSVILLE","AL",34.631111,-86.669444,45.892,"No","No Violation",5,"262.A, 262.C, 265.D, NA",5,2,09/27/2013,1,"Y"
"AL2640090005","110000608753","TVA POWER SERVICE CENTER","3110 RESERVATION ROAD","MUSCLE SHOALS","AL",34.767678,-87.650058,29.815,"No","No Violation",0,"NA",6,0,08/14/2002,0,"Y"
"AL3210020027","110000368851","ANNISTON ARMY DEPOT","7 FRANKFORD AVE","ANNISTON","AL",33.65943,-85.96943,14.124,"No","Noncompliance",8,"262.A, 262.B, 264.B, NA, PCR",6,6,01/26/2016,2,"Y"
"AL6210020776","110000719697","USAACE AND FORT RUCKER","IIMRC-PW, BUILDING 1207","FORT RUCKER","AL",31.337222,-85.733889,35.249,"No","No Violation",2,"265.D, NA",4,1,10/04/2011,1,"Y"
"AL7210020742","110001147394","U.S. ARMY REDSTONE ARSENAL","4488 MARTIN RD","REDSTONE ARSENAL","AL",34.64694,-86.67305,47.978,"No","Noncompliance",6,"264.B, 264.I, 265.B, 265.I, 270.A, 270.C, 273.C, 279.C, NA, PCR",6,3,04/13/2016,1,"Y"
"ALD000622464","110000493074","CHEMICAL WASTE MANAGEMENT","36964 ALABAMA HWY 17","EMELLE","AL",32.804207,-88.312353,46.667,"No","No Violation",8,"262.C, 263.A, 264.B, 264.C, 264.D, 264.DD, 264.E, 264.I, NA, PCR",7,6,01/27/2016,1,"Y"
