id,name,lat,long,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,
1,Acadia,30.2905807,-92.4119873,0,2,1,2,9,24,15,18,13,7,18,25,27,20,34,19,14,3,5,9,32,42,72,90,89,46,55,57,10,18,32,69,58,66,76,75,76,83,96,88,94,104,121,95,144,132,142,119,92,77,114,68,66,81,68,70,62,62,67,57,75,65,79,83,105,108,145,158,125,131,177,144,64,86,52,37,38,32,30,36,38,26,24,36,21,17,19,21,13,18,20,23,24,
2,Allen,30.6527805,-92.8278809,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,2,0,0,3,2,3,0,0,2,1,1,2,4,3,3,8,12,16,27,63,51,62,27,33,25,25,5,15,32,16,15,18,15,17,10,10,15,6,10,13,14,22,14,20,28,34,32,29,33,31,19,7,8,6,12,16,12,12,6,6,6,13,5,7,6,6,11,9,13,12,9,
3,Ascension,30.2035103,-90.9112625,0,0,0,0,0,0,0,0,0,0,1,1,1,4,15,7,1,2,6,6,2,11,14,11,20,17,13,10,2,3,5,0,3,2,2,7,7,11,14,9,11,12,12,11,13,16,16,8,16,11,14,30,34,17,15,22,18,8,12,15,10,12,13,14,11,9,8,18,16,13,12,15,6,15,11,14,6,1,3,4,4,5,3,4,1,0,2,5,2,3,4,1,3,
4,Assumption,29.9007797,-91.0625763,0,0,0,0,0,0,1,0,0,0,0,1,1,3,0,2,8,0,0,1,0,0,0,0,1,4,2,3,3,1,5,24,9,7,5,6,10,18,21,20,33,33,30,46,37,40,44,30,20,23,20,32,23,13,28,34,29,24,25,26,27,16,23,25,35,16,23,29,28,28,14,22,7,9,13,7,11,6,4,7,5,6,4,6,5,8,14,10,10,2,4,1,5,
5,Avoyelles,31.0762291,-92.0013733,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,1,0,1,3,1,0,2,0,3,69,48,7,3,0,0,1,1,7,23,21,7,22,7,6,4,4,6,5,5,5,0,1,47,73,66,31,26,32,32,36,11,11,4,4,12,23,18,18,9,11,27,18,23,28,39,27,8,31,27,28,34,14,26,14,10,4,1,5,3,29,3,4,2,4,5,5,4,
6,Beauregard,30.6484795,-93.3433838,0,0,0,0,0,1,0,3,1,1,0,0,1,0,0,0,0,1,1,4,5,1,0,0,12,32,25,7,10,39,47,37,21,36,50,48,39,28,25,32,43,85,89,87,42,62,56,21,33,24,36,34,30,24,26,29,21,31,25,18,27,31,26,46,44,49,53,75,47,68,71,65,25,22,15,13,15,8,10,16,16,4,12,20,28,9,16,16,10,8,14,17,18,
7,Bienville,32.347229,-93.0559464,0,0,3,0,1,8,12,9,7,7,3,3,2,6,5,2,10,2,5,5,7,5,6,8,5,9,8,4,4,8,6,21,12,20,13,19,22,25,20,17,18,26,27,56,25,35,35,17,8,24,16,23,45,16,27,42,40,48,48,46,29,40,29,18,15,43,116,54,31,16,26,18,13,34,45,62,62,36,25,25,39,48,68,90,75,69,80,95,46,41,48,85,102,
8,Bossier,32.6787109,-93.605217,0,1,12,9,17,35,44,32,189,173,96,52,46,64,73,42,119,11,10,16,34,30,40,49,41,25,25,56,33,23,30,65,35,62,77,130,84,81,60,89,121,124,107,101,56,41,35,141,101,58,81,74,37,79,21,86,126,32,69,70,201,201,142,169,212,102,224,147,174,236,141,126,64,61,32,44,54,36,44,44,61,40,55,87,75,97,141,126,72,144,275,277,294,
9,Caddo,32.5802307,-93.8825073,5,2,10,15,213,215,225,137,118,176,161,203,325,285,85,186,81,23,31,86,79,185,347,245,142,299,326,197,69,84,42,48,171,369,793,715,566,438,553,651,1338,1126,789,469,385,475,314,380,561,857,730,762,209,179,152,140,161,249,196,195,311,300,309,338,355,545,609,765,867,1049,2731,1617,379,291,210,191,185,153,132,126,108,102,147,149,264,142,230,233,80,86,126,302,287,32287
10,Calcasieu,30.2292099,-93.3579178,1,1,0,2,18,25,34,23,31,48,56,94,92,63,68,67,69,23,26,72,72,86,92,66,28,25,48,38,25,42,58,42,45,56,53,79,98,88,98,130,113,176,133,141,137,119,120,81,75,79,87,93,62,82,89,86,74,68,93,56,41,82,60,81,73,91,115,112,66,116,116,128,44,39,51,52,56,37,29,31,14,16,17,41,27,109,63,44,15,28,33,70,59,
