ScientificName,CommonNames
Abies alba,silver fir
Abies nordmanniana,Caucasian fir
Acer circinatum,vine maple
Acer negundo,three-leaf maple
Acer rubrum,red maple
Acer saccharinum,silver maple
Acer saccharum,sugar maple
Acer ,southern sugar maple
Aconogonon ochreatum,
Ageratum houstonianum,bluemink
Allionia incarnata,trailing four o'clock
Alnus (pentaporate),Alder
Alnus (tetraporate),Alder
Alnus glutinosa,black alder
Alnus incana,gray alder
Alnus rubra,red alder
Alnus ,Italian alder
Alnus viridis,green alder
Amaranthaceae , Amaranth family
Amaranthus australis,southern amaranth
Ambrosia artemisiifolia,Roman wormwood
Anacardiaceae ,
Apiaceae ,
Arecaceae ,
Artemisia herba-alba,white wormwood
Artemisia ,southernwood
Artemisia vulgaris,artemisia
Asteraceae ,
Athyrium alpestre,alpine ladyfern
Athyrium filix-femina,common ladyfern
Baccharis tola,
Betulaceae ,
Betula costata,Korean birch
Betula dahurica,Dahurian birch
Betula divaricata,
Betula ermanii, Erman's birch
Betula fruticosa, dwarf birch
Betula humilis,
Betula pendula,European white birch
Betula platyphylla,Asian white birch
Betula pubescens,downy birch
Betula ,yellow birch
Bistorta bistortoides,American bistort
Bistorta officinalis,meadow bistort
Blechnum serrulatum,toothed midsorus fern
Botrychium lunaria,common moonwort
Bouteloua curtipendula,sideoats grama
Brasenia schreberi,Schreber's watershield
Brassicaceae ,mustards
Bursera simaruba,gumbo limbo
Calla palustris,water arum
Calystegia sepium,hedgebell
Cannabis sativa,pot
Carpinus betulus,European hornbeam
Carpinus cordata, heartleaf hornbeam
Carpinus orientalis,Oriental Hornbeam
Caryophyllaceae ,carnations
Castanea sativa,European chestnut
Ceanothus ,New Jersey tea
Celtis occidentalis,western hackberry
Centaurea cyanus,garden cornflower
Centaurea jacea,brownray knapweed
Centaurea nigra,lesser knapweed
Centaurea solstitialis,yellow star-thistle
Cephalanthus occidentalis,buttonbush
Cerealia ,Cereals
Cicuta maculata,common water hemlock
Circaea alpina,small enchanter's nightshade
Cladium jamaicense,Jamaica swamp sawgrass
Claytonia acutifolia,
Claytonia ,arctic springbeauty
Coniferae ,Conifers
Convolvulus arvensis,perennial morningglory
Cornus canadensis,Canadian bunchberry
Cornus mas,cornejo macho
Cornus sanguinea,bloodtwig dogwood
Cornus sericea,redosier dogwood
Corylus avellana,common filbert
Cristaria ,
Cryptantha ,dentnut cryptantha
Cryptogramma crispa,crisp rockbrake
Cupressaceae ,Cyprus
Cyclachaena xanthiifolia,giant sumpweed
Cylindropuntia imbricata,cane cholla
Cyrilla racemiflora,swamp cyrilla
Dalea candida,white prairie clover
Dalea purpurea,violet prairie clover
Decodon verticillatus,swamp loosestrife
Diphasiastrum alpinum,alpine clubmoss
Diphasiastrum complanatum,groundcedar
Diphasiastrum tristachyum,deeproot clubmoss
Drosera rotundifolia,roundleaf sundew
Dryopteris carthusiana,spinulose woodfern
Dryopteris dilatata,broad buckler-fern
Dryopteris filix-mas,malefern
Dryopteris fragrans,fragrant woodfern
Empetrum nigrum,black crowberry
Ephedra distachya,sea-grape
Ephedra fragilis, joint pine
Ephedra nevadensis,Nevada jointfir
Ephedra torreyana,Torrey's ephedra
Ephedra trifurca,longleaf jointfir
Ephedra ,high-climbing jointfir
Ephedra viridis,green ephedra
Ericales ,
Eudicotyledoneae (tricolpate),
Eudicotyledoneae (tricolporate),
Euphorbiaceae ,spurge family
Fagus grandifolia,American beech
Fagus orientalis,Oriental beech
Fagus sylvatica,European beech
Fouquieria splendens,ocotillo
Fraxinus (tetracolpate),Ash
Fraxinus (tricolpate),Ash
Fraxinus americana,white ash
Fraxinus excelsior,European ash
Fraxinus nigra,black ash
Fraxinus ornus,flowering ash
Fraxinus pennsylvanica,green ash
Fraxinus ,white ash
Hedera helix,English ivy
Hippophae rhamnoides,seabuckthorn
Hippuris vulgaris,common mare's-tail
Humulus lupulus,common hop
Huperzia lucidula,shining clubmoss
Huperzia selago,fir clubmoss
Hypericum perforatum,Klamath weed
Hypericum ,sharpleaf St. Johnswort
Ilex aquifolium,English holly
Iva annua,annual marsh-elder
Iva ,Zandolie
Jasione montana,sheepbit
Juglans cinerea,butternut
Juglans nigra,black walnut
Juglans regia,English walnut
Juglans ,Japanese walnut
Juniperus communis,dwarf juniper
Juniperus sp,Junipers
Lamiaceae ,
Larix gmelinii,Dahurian larch
Larix laricina,tamarack
Leontice leontopetalum,
Lepidium sp,
Liliaceae ,lilies
Lilianae ,angiosperms superorder
Linnaea borealis,northern twinflower
Linum catharticum,fairy flax
Linum usitatissimum,common flax
Liquidambar styraciflua,sweetgum
Littorella uniflora,American shoreweed
Lycopodiaceae (foveolate),
Lycopodiaceae ,core clubmosses
Lycopodiella inundata,inundated clubmoss
Lycopodium annotinum,stiff clubmoss
Lycopodium clavatum,running clubmoss
Lycopodium obscurum,ground pine
Lycopodium ,alpine club moss
Lysimachia vulgaris,garden loosestrife
Lythrum salicaria,spiked loosestrife
Maclura pomifera,osage orange
Mercurialis perennis,dog's mercury
Micranthes hieraciifolia,hawkweed-leaved saxifrage
Micranthes stellaris,starry saxifrage
Mikania scandens,climbing hempvine
Moraceae , mulberry family
Morus rubra,red mulberry
Myrica cerifera,southern bayberry
Myriophyllum alterniflorum,alternateflower watermilfoil
Myriophyllum spicatum,Eurasian watermilfoil
Myriophyllum ,alternateflower watermilfoil
Myrtaceae ,myrtle family
Nassella pubiflora,
Nothofagus dombeyi,coigue
Nothofagus obliqua,roble beech
Nymphaeaceae ,Water lilies
Nymphaea odorata,American white waterlily
Onagraceae , willowherb family
Ophioglossum vulgatum,southern adder's-tongue
Osmunda regalis,royal fern
Oxyria digyna,alpine mountainsorrel
Parnassia palustris,marsh grass-of-Parnassus
Pedicularis langsdorffii,Langsdorf's lousewort
Persicaria amphibia,water knotweed
Persicaria lapathifolia,curlytop knotweed
Persicaria maculosa,spotted ladysthumb
Phacelia sp,patch phacelia
Physalis sp,Ground cherries
Picea abies,Norway spruce
Picea glauca,skunk spruce
Picea mariana,black spruce
Picea orientalis,Ornamental spruce
Picea ,Norway spruce
Pinaceae ,
Pinus albicaulis,sicklekeel lupine
Pinus banksiana,jack pine
Pinus cembra,Swiss stone pine
Pinus contorta,tamarack pine
Pinus edulis, Colorado pinyon
Pinus koraiensis,Chinese pinenut
Pinus pumila,Japanese stone pine
Pinus sibirica,Siberian pine
Pinus strobus,Weymouth pine
Pinus sylvestris,Scots pine
Pinus ,Pines
Planera aquatica,water elm
Plantaginaceae ,plantain family
Plantago coronopus,buckhorn plantain
Plantago lanceolata,ribgrass
Plantago major,great plantain
Plantago maritima,goose tongue
Plantago media,hoary plantain
Plantago ,saltmeadow plantain
Platanus occidentalis,American sycamore
Poaceae ,Grasses
Podocarpus nubigenus,Chilean podocarp
Polemoniaceae ,
Polygonaceae , knotweed family
Polygonum aviculare,prostrate knotweed
Polygonum californicum,California knotweed
Polygonum ramosissimum,yellow-flower knotweed
Polygonum ,knotweed
Polypodiophyta (monolete),
Polypodiophyta (trilete),
Polypodiophyta ,Ferns
Populus balsamifera,balsam poplar
Populus tremula,European aspen
Populus tremuloides,quaking aspen
Populus ,white poplar
Potentilla palustris,Comarum palustre
Pseudotsuga menziesii,red fir
Pteridium aquilinum,western brackenfern
Pteridophyta ,
Quercus coccifera,kermes oak
Quercus ilex,holly oak
Quercus mongolica,Mongolian oak
Quercus robur,English oak
Quercus ,mapleleaf oak
Ranunculaceae ,
Ranunculus acris,tall buttercup
Ranunculus aquatilis,white water crowfoot
Ranunculus flabellaris,yellow water-crowfoot
Ranunculus repens,creeping buttercup
Ranunculus ,smallflower buttercup
Rhamnaceae , buckthorn family
Rhamnus cathartica,Carolina buckthorn
Rhododendron tomentosum,marsh Labrador tea
Rhynchospora alba,white beaksedge
Rosaceae ,Roses
Rubiaceae ,bedstraw family
Rubus chamaemorus,cloudberry
Rumex acetosa,garden sorrel
Rumex acetosella,common sheep sorrel
Rumex crispus,sour dock
Rumex obtusifolius,bitter dock
Rumex ,garden sorrel
Ruppia maritima,widgeongrass
Salix caroliniana,coastal plain willow
Salsola kali,Russian thistle
Sanguisorba minor,small burnet
Sanguisorba officinalis,official burnet
Sarcobatus vermiculatus,greasewood
Saussurea nuda,clustered sawwort
Saxifragaceae ,
Saxifraga cernua,nodding saxifrage
Saxifraga oppositifolia,purple mountain saxifrage
Saxifraga tricuspidata,prickly saxifrage
Saxifraga ,solidstem burnet saxifrage
Schinus terebinthifolius,Christmasberry
Scirpus sp, club-rush
Scleranthus annuus,German knotgrass
