lat,long,genus,taxa,pollen,year,site
40,-120,x,a,100,1000,madison
42,-121,x,a,10,800,milwaukee
43,-130,y,a,50,400,london
40,-120,y,a,20,10000,madison
45,-110,z,b,650,1000,paris
39,-115,z,d,40,200,france
38,-117,o,b,3,1000,america
45,-115,n,b,322,300,london
45,-112,r,e,625,100,paris
41,-111,s,b,409,500,france
39,-124,s,c,883,300,madison
39,-108,s,a,294,100,america
39,-105,s,c,963,400,madison
37,-119,p,c,722,400,london
42,-105,z,b,997,400,london
40,-122,p,b,368,400,milwaukee
43,-127,m,a,555,400,milwaukee
37,-130,m,e,686,500,paris
37,-118,r,a,503,100,paris
43,-110,s,d,847,300,america
37,-107,s,a,686,100,madison
45,-122,p,d,565,300,paris
44,-117,z,d,877,400,france
39,-129,z,c,699,500,america
40,-106,r,d,405,500,america
44,-105,p,e,120,100,america
45,-107,r,c,979,200,milwaukee
45,-120,m,b,193,200,paris
43,-127,n,e,959,100,milwaukee
42,-111,z,b,108,500,france
41,-108,n,b,350,100,france
44,-105,s,e,747,400,paris
43,-111,o,c,6,500,madison
39,-105,p,d,698,200,france
39,-105,z,e,2,200,madison
43,-116,z,a,931,100,france
39,-118,r,c,438,400,london
39,-110,n,e,254,300,paris
43,-107,o,b,261,400,paris
37,-120,s,b,372,400,america
37,-119,n,a,924,100,madison
37,-120,q,c,756,500,france
39,-117,r,b,922,300,madison
38,-106,r,d,548,400,madison
41,-107,p,a,636,200,america
43,-122,n,d,483,500,france
43,-129,o,a,178,300,france
40,-105,o,b,797,100,london
40,-130,n,d,320,300,france
40,-109,s,d,854,400,france
39,-130,q,a,39,400,america
43,-108,o,e,824,500,paris
39,-111,z,a,173,400,milwaukee
39,-120,o,e,116,300,milwaukee
41,-119,p,d,342,100,paris
37,-125,p,a,179,300,france
44,-126,o,b,154,300,paris
44,-122,z,e,839,300,milwaukee
38,-113,q,d,280,300,madison
41,-120,n,c,399,200,paris
43,-114,q,b,743,200,america
39,-125,o,c,485,400,madison
37,-109,p,e,808,200,america
43,-111,p,b,659,300,madison
41,-127,z,e,726,200,madison
44,-110,m,e,678,200,madison
39,-111,o,e,914,300,paris
41,-120,s,b,137,500,france
39,-111,n,b,107,200,madison
40,-119,n,c,948,100,milwaukee
45,-122,p,e,679,400,madison
37,-111,s,e,173,400,madison
39,-107,o,c,533,200,madison
40,-123,s,d,251,500,london
45,-106,r,a,857,400,london
41,-125,m,b,571,500,madison
40,-116,o,b,911,300,london
37,-119,m,a,410,200,america
38,-130,n,d,100,500,madison
44,-118,m,b,996,200,france
37,-114,q,c,524,500,america
45,-119,q,d,980,400,madison
44,-127,m,b,221,300,paris
42,-127,m,b,299,200,france
41,-123,s,b,271,200,america
38,-124,z,b,738,300,london
44,-110,m,e,799,200,paris
43,-113,m,b,704,500,france
41,-127,m,a,392,100,london
42,-106,s,b,28,300,america
43,-123,n,a,651,500,madison
41,-110,p,b,639,100,paris
44,-117,o,a,296,300,london
38,-122,m,c,66,400,milwaukee
43,-105,p,a,74,200,france
43,-124,r,b,760,300,milwaukee
41,-118,z,b,116,400,madison
42,-128,s,e,751,100,madison
43,-122,n,b,527,300,madison
41,-126,o,a,859,500,america
44,-127,q,b,218,500,paris
45,-117,o,d,882,200,america
38,-125,q,d,693,500,madison
45,-105,r,e,89,100,london
44,-113,n,a,358,500,milwaukee
39,-123,n,b,878,100,london
40,-122,q,d,265,400,madison
45,-108,o,d,908,100,france
42,-106,r,e,710,100,milwaukee
38,-129,s,e,459,100,america
45,-116,s,e,924,100,milwaukee
38,-118,r,c,546,500,america
40,-126,n,b,555,500,america
40,-111,p,d,302,300,madison
42,-107,n,b,550,200,america
44,-116,m,c,995,500,paris
43,-118,p,d,458,100,milwaukee
42,-114,r,a,582,300,france
39,-122,s,c,869,500,milwaukee
37,-112,s,d,206,400,london
39,-125,z,e,628,100,america
38,-121,n,a,970,100,france
39,-126,r,a,240,300,madison
39,-120,z,a,564,500,america
43,-108,s,d,842,500,america
44,-108,n,b,862,200,madison
44,-112,z,b,278,300,america
41,-125,p,a,859,200,london
39,-128,n,b,465,400,america
45,-127,q,b,458,300,america
40,-111,n,e,648,400,milwaukee
44,-122,q,c,948,400,madison
37,-123,p,b,17,400,madison
44,-128,s,e,610,500,america
39,-122,z,e,565,200,america
40,-123,m,a,889,100,madison
44,-106,r,c,756,100,france
43,-112,m,d,943,300,london
39,-130,o,a,507,100,france
45,-123,m,e,30,400,america
41,-127,r,b,851,500,france
44,-112,p,c,985,400,paris
40,-122,n,e,617,300,madison
44,-128,r,d,492,200,madison
39,-119,p,e,776,200,madison
42,-109,z,d,571,100,london
37,-113,z,c,351,400,france
41,-112,o,e,411,500,madison
39,-106,p,d,346,200,france
39,-106,s,d,111,300,paris
45,-108,r,e,290,500,milwaukee
40,-109,r,a,467,400,madison
37,-129,s,e,335,100,madison
44,-115,p,d,467,500,america
44,-115,n,e,227,400,milwaukee
44,-117,p,c,854,400,milwaukee
41,-117,o,e,499,200,madison
37,-123,r,b,552,100,paris
41,-120,s,c,350,300,madison
38,-115,m,a,961,500,paris
37,-105,o,e,375,500,france
40,-106,p,e,662,100,france
40,-116,q,e,683,200,madison
45,-108,m,e,607,200,paris
43,-107,q,d,255,400,london
38,-108,z,a,879,500,paris
43,-118,m,c,305,200,london
39,-117,n,d,866,500,madison
44,-121,o,d,530,400,france
45,-125,o,c,330,200,london
43,-116,q,e,442,300,america
45,-110,r,e,57,200,france
43,-107,z,c,457,100,madison
43,-128,z,c,665,500,america
43,-107,o,e,5,300,america
38,-110,o,c,458,400,milwaukee
42,-113,n,e,298,200,france
43,-127,m,b,313,200,paris
43,-115,r,d,634,300,madison
42,-113,o,a,711,300,madison
40,-115,r,b,18,400,america
