coastal_exposure_s2,coastal_exposure_no_habitats_s2,habitat_role_s2,coastal_exposure_s1,coastal_exposure_no_habitats_s1,habitat_role_s1,s1_habitat_role_percent,exposure_diff_percent,latitude,longitude
2.26493,2.26493,0,2.26493,2.26493,0,0,0,49.502003,-126.298153
3.4641,3.48775,0.023649,3.36739,3.48775,0.120364,3.451050104,2.791778528,49.475423,-126.586327
3.4641,3.48775,0.023649,3.36739,3.48775,0.120364,3.451050104,2.791778528,49.466446,-126.585671
2.75516,2.85364,0.0984807,2.75516,2.85364,0.0984807,3.451055494,0,49.470639,-126.447912
2.85364,2.85364,0,2.85364,2.85364,0,0,0,49.47105,-126.434135
2.04388,2.11693,0.0730567,2.04388,2.11693,0.0730567,3.451068292,0,49.471458,-126.420357
2.5423,2.5423,0,2.5423,2.5423,0,0,0,49.475455,-126.282561
3.4641,3.48775,0.023649,3.36739,3.48775,0.120364,3.451050104,2.791778528,49.457468,-126.585015
2.9938,2.9938,0,2.9938,2.9938,0,0,0,49.461661,-126.447281
2.57512,2.66717,0.0920458,2.57512,2.66717,0.0920458,3.451066111,0,49.462071,-126.433506
2.5423,2.5423,0,2.5423,2.5423,0,0,0,49.466475,-126.28196
3.59536,3.6199,0.024545,3.49498,3.6199,0.124925,3.451062184,2.791931823,49.448918,-126.57059
3.09256,3.2031,0.110541,3.09256,3.2031,0.110541,3.451063033,0,49.45227,-126.460423
3.09256,3.2031,0.110541,3.09256,3.2031,0.110541,3.451063033,0,49.452682,-126.446651
2.26493,2.26493,0,2.26493,2.26493,0,0,0,49.457495,-126.28136
3.4641,3.48775,0.023649,3.36739,3.48775,0.120364,3.451050104,2.791778528,49.439514,-126.583704
3.24091,3.48775,0.246837,3.24091,3.48775,0.246837,7.077256111,0,49.442464,-126.487329
3.36739,3.48775,0.120364,3.36739,3.48775,0.120364,3.451050104,0,49.442879,-126.47356
2.85364,2.85364,0,2.85364,2.85364,0,0,0,49.444113,-126.432251
2.26493,2.26493,0,2.26493,2.26493,0,0,0,49.448123,-126.294533
2.04388,2.11693,0.0730567,2.03094,2.11693,0.0859928,4.062146599,0.633109576,49.454927,-126.046566
3.2031,3.22497,0.0218673,3.11367,3.22497,0.111296,3.451070863,2.791982767,49.430536,-126.583049
3.24091,3.48775,0.246837,3.24091,3.48775,0.246837,7.077256111,0,49.433485,-126.486692
3.2031,3.2031,0,3.2031,3.2031,0,0,0,49.435135,-126.431623
2.26493,2.26493,0,2.26493,2.26493,0,0,0,49.43875,-126.307701
2.5423,2.5423,0,2.5423,2.5423,0,0,0,49.439925,-126.266388
2.5423,2.5423,0,2.5423,2.5423,0,0,0,49.4407,-126.238845
2.11693,2.11693,0,2.11693,2.11693,0,0,0,49.445581,-126.059785
3.2031,3.22497,0.0218673,3.11367,3.22497,0.111296,3.451070863,2.791982767,49.421131,-126.596156
3.36371,3.6199,0.25619,3.36371,3.6199,0.25619,7.077267328,0,49.424507,-126.486055
2.94778,3.05315,0.105366,2.92912,3.05315,0.124023,4.062132552,0.633018746,49.426564,-126.417231
3.05315,3.05315,0,3.05315,3.05315,0,0,0,49.431333,-126.252022
2.37618,2.37618,0,2.37618,2.37618,0,0,0,49.435867,-126.086771
2.11693,2.11693,0,2.11693,2.11693,0,0,0,49.436599,-126.059225
2.11693,2.11693,0,2.11693,2.11693,0,0,0,49.436963,-126.045452
3.2031,3.22497,0.0218673,3.11367,3.22497,0.111296,3.451070863,2.791982767,49.412582,-126.58174
3.36371,3.6199,0.25619,3.35014,3.6199,0.269767,7.452332937,0.403423601,49.415943,-126.471656
3.53278,3.55689,0.0241177,3.43414,3.55689,0.122751,3.451076643,2.792135372,49.417177,-126.43037
3.05315,3.05315,0,3.05315,3.05315,0,0,0,49.422353,-126.251428
2.85364,2.85364,0,2.85364,2.85364,0,0,0,49.425774,-126.127516
2.66717,2.66717,0,2.66717,2.66717,0,0,0,49.426146,-126.113747
2.66717,2.66717,0,2.66717,2.66717,0,0,0,49.426516,-126.099977
2.66717,2.66717,0,2.66717,2.66717,0,0,0,49.426885,-126.086207
2.11693,2.11693,0,2.11693,2.11693,0,0,0,49.427252,-126.072437
3.2031,3.22497,0.0218673,3.11367,3.22497,0.111296,3.451070863,2.791982767,49.40403,-126.56733
3.4641,3.48775,0.023649,3.36739,3.48775,0.120364,3.451050104,2.791778528,49.407378,-126.457263
3.30193,3.32447,0.0225418,3.20974,3.32447,0.114729,3.451046332,2.792003465,49.408606,-126.415983
3.20974,3.32447,0.114729,3.18942,3.32447,0.135045,4.06215126,0.633073084,49.409012,-126.402222
3.30193,3.32447,0.0225418,3.20974,3.32447,0.114729,3.451046332,2.792003465,49.409417,-126.388461
2.83429,2.85364,0.0193491,2.75516,2.85364,0.0984807,3.451055494,2.791880859,49.40982,-126.3747
3.05315,3.05315,0,3.05315,3.05315,0,0,0,49.413372,-126.250834
2.52506,2.5423,0.0172381,2.45457,2.5423,0.0877364,3.451063997,2.791616833,49.416419,-126.140712
2.37618,2.37618,0,2.37618,2.37618,0,0,0,49.416792,-126.126945
2.11693,2.11693,0,2.11693,2.11693,0,0,0,49.41827,-126.071876
2.04388,2.11693,0.0730567,2.03094,2.11693,0.0859928,4.062146599,0.633109576,49.422545,-125.906641
3.2031,3.22497,0.0218673,3.11367,3.22497,0.111296,3.451070863,2.791982767,49.395477,-126.552924
3.59536,3.6199,0.024545,3.49498,3.6199,0.124925,3.451062184,2.791931823,49.398399,-126.456632
3.2031,3.2031,0,3.2031,3.2031,0,0,0,49.401241,-126.360325
3.2031,3.2031,0,3.2031,3.2031,0,0,0,49.404004,-126.264002
2.5423,2.5423,0,2.5423,2.5423,0,0,0,49.404778,-126.236479
2.52506,2.5423,0.0172381,2.45457,2.5423,0.0877364,3.451063997,2.791616833,49.407062,-126.153902
2.36006,2.37618,0.0161119,2.29417,2.37618,0.0820034,3.451060105,2.791878173,49.407437,-126.140138
2.11693,2.11693,0,2.11693,2.11693,0,0,0,49.413561,-125.90611
3.2031,3.22497,0.0218673,3.11367,3.22497,0.111296,3.451070863,2.791982767,49.386075,-126.566028
3.49498,3.6199,0.124925,3.47286,3.6199,0.147046,4.062156413,0.632907771,49.389008,-126.469756
3.32447,3.32447,0,3.32447,3.32447,0,0,0,49.392262,-126.359711
3.2031,3.2031,0,3.2031,3.2031,0,0,0,49.395023,-126.263407
2.85364,2.85364,0,2.85364,2.85364,0,0,0,49.395411,-126.249648
3.05315,3.05315,0,3.05315,3.05315,0,0,0,49.396565,-126.208369
