category,January through August 2005,September through December 2005,1 Statistical Significance
     Total population,1190615,723830,*
SEX AND AGE, , , 
Male,0.475,0.471, 
Female,0.525,0.529, 
Under 5 years,0.065,0.054, 
5 to 9 years,0.063,0.069, 
10 to 14 years,0.074,0.066, 
15 to 19 years,0.067,0.062, 
20 to 24 years,0.064,0.054, 
25 to 34 years,0.133,0.113, 
35 to 44 years,0.142,0.136, 
45 to 54 years,0.155,0.172, 
55 to 59 years,0.064,0.077, 
60 to 64 years,0.048,0.059, 
65 to 74 years,0.068,0.073, 
75 to 84 years,0.046,0.055, 
85 years and over,0.01,0.011, 
, , , 
Median age (years),37.7,41.6,*
, , , 
18 years and over,0.755,0.771, 
21 years and over,0.715,0.738, 
62 years and over,0.15,0.172, 
65 years and over,0.124,0.139, 
, , , 
18 years and over,898511,557717,*
     Male,0.454,0.463, 
     Female,0.546,0.537, 
, , , 
65 years and over,147224,100927,*
     Male,0.411,0.446, 
     Female,0.589,0.554, 
, , , 
RACE , , , 
One race,1176593,709128,*
Two or more races,14022,14702, 
, , , 
Total population,1190615,723830,*
One race,0.988,0.98, 
White,0.593,0.73,*
Black or African American,0.366,0.217,*
, , , 
RACE ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES,,,
     Total population,1190615,723830,*
White,0.597,0.734,*
Black or African American,0.367,0.22,*
, , , 
HISPANIC OR LATINO ORIGIN AND RACE, , , 
     Total population,1190615,723830,*
Hispanic or Latino (of any race),0.058,0.062, 
Not Hispanic or Latino,0.942,0.938, 
     White alone,0.543,0.675,*
     Black or African American alone,0.358,0.211,*
, , , 
RELATIONSHIP, , , 
     Household population,1190615,723830,*
Householder,0.414,0.394, 
Spouse,0.173,0.185, 
Child,0.297,0.27, 
Other relatives,0.069,0.097, 
Nonrelatives,0.046,0.054, 
     Unmarried partner,0.023,0.015, 
, , , 
HOUSEHOLDS BY TYPE, , , 
     Total households,492912,285106,*
Family households (families),0.645,0.666, 
         With own children under 18 years,0.285,0.267, 
     Married-couple families,0.419,0.469, 
         With own children under 18 years,0.166,0.191, 
"     Female householder, no husband present",0.182,0.151, 
         With own children under 18 years,0.103,0.059,*
Nonfamily households,0.355,0.334, 
     Householder living alone,0.303,0.284, 
          65 years and over,0.1,0.085, 
, , , 
"Households with one or more people under
18 years",0.334,0.316, 
"Households with one or more people 65 
years and over",0.235,0.265, 
, , , 
Average household size,2.42,2.54, 
Average family size,3.02,3.1, 
, , , 
TABLE 2. PROFILE OF SELECTED SOCIAL CHARACTERISTICS,,,
,January through August 2005,September through December 2005,1 Statistical Significance
SCHOOL ENROLLMENT, , , 
     Population 3 years and over enrolled in school,312899,170269,*
"Nursery school, preschool",0.073,0.058, 
Kindergarten,0.053,0.063, 
Elementary school (grades 1-8),0.422,0.443, 
High school (grades 9-12),0.21,0.226, 
College or graduate school,0.243,0.211, 
, , , 
EDUCATIONAL ATTAINMENT, , , 
     Population 25 years and over,792668,503177,*
Less than 9th grade,0.057,0.045, 
"9th to 12th grade, no diploma",0.111,0.098, 
High school graduate (includes equivalency),0.312,0.336, 
"Some college, no degree",0.221,0.2, 
Associate's degree,0.051,0.059, 
Bachelor's degree,0.158,0.174, 
Graduate or professional degree,0.09,0.088, 
, , , 
Percent high school graduate or higher,83.2,85.7, 
Percent bachelor's degree or higher,24.8,26.2, 
, , , 
MARITAL STATUS, , , 
     Males 15 years and over,436549,272726,*
Never married,0.341,0.298, 
"Now married, except separated",0.504,0.551, 
Separated,0.019,0.014, 
Widowed,0.036,0.04, 
Divorced,0.1,0.097, 
, , , 
     Females 15 years and over,513015,314385,*
Never married,0.298,0.23,*
"Now married, except separated",0.429,0.468, 
Separated,0.027,0.019, 
Widowed,0.111,0.135, 
Divorced,0.135,0.148, 
, , , 
VETERAN STATUS, , , 
     Civilian population 18 years and over,895880,556801,*
Civilian veterans,92274,60198,*
, , , 
DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION,,,
     Population 5 years and over,1110194,684016,*
With any disability,0.165,0.192, 
, , , 
     Population 5 to 15 years,179576,109998,*
With any disability,0.083,0.104, 
, , , 
     Population 16 to 64 years,783394,473091,*
With any disability,0.13,0.159, 
, , , 
     Population 65 years and over,147224,100927,*
With any disability,0.45,0.441, 
, , , 
RESIDENCE 1 YEAR AGO, , , 
     Population 1 year and over,1170161,716350,*
Same house,0.864,0.792,*
Different house in the U.S.,0.133,0.208,*
     Same county,0.079,0.109, 
     Different county,0.054,0.098,*
          Same state,0.037,0.077,*
          Different state,0.017,0.021, 
Abroad,0.003,0.001,*
, , , 
PLACE OF BIRTH, , , 
     Total population,1190615,723830,*
Native,0.944,0.941, 
     Born in United States,0.938,0.934, 
          State of residence,0.763,0.752, 
          Different state,0.175,0.182, 
"     Born in Puerto Rico, U.S. Island Areas, or born abroad to 
     American parent(s)",0.006,0.007, 
Foreign born,0.056,0.059, 
, , , 
LANGUAGE SPOKEN AT HOME, , , 
     Population 5 years and over,1112825,684932,*
English only,0.9,0.9, 
Language other than English,0.1,0.1, 
     Spanish,0.051,0.054, 
, , , 
TABLE 3.  PROFILE OF SELECTED ECONOMIC CHARACTERISTICS,,,
,January through August 2005,September through December 2005,1 Statistical Significance
EMPLOYMENT STATUS, , , 
       Population 16 years and over,933249,574934,*
In labor force,0.645,0.598,*
     Civilian labor force,0.642,0.596,*
          Employed,0.587,0.521,*
          Unemployed,0.055,0.075, 
     Armed Forces,0.003,0.002, 
Not in labor force,0.355,0.402,*
, , , 
     Civilian labor force,599172,342625,*
Unemployed,8.6,12.6,*
, , , 
     Females 16 years and over,506520,307974,*
In labor force,0.604,0.543,*
     Civilian labor force,0.604,0.543,*
          Employed,0.546,0.46,*
, , , 
COMMUTING TO WORK, , , 
     Workers 16 years and over,530176,274202,*
"Car, truck, or van -- drove alone",0.775,0.805, 
"Car, truck, or van -- carpooled",0.112,0.114, 
, , , 
Mean travel time to work (minutes),26,27.9, 
, , , 
     Employed civilian population 16 years and over,547842,299534,*
OCCUPATION, , , 
"Management, professional, and related occupations",0.347,0.4, 
Service occupations,0.175,0.146, 
Sales and office occupations,0.284,0.245, 
"Construction, extraction, maintenance, and repair occupations",0.094,0.119, 
"Production, transportation, and material moving occupations",0.097,0.084, 
, , , 
INDUSTRY, , , 
Construction,0.063,0.093, 
Manufacturing,0.075,0.103, 
Wholesale trade,0.032,0.046, 
Retail trade,0.116,0.104, 
"Transportation and warehousing, and utilities",0.062,0.045, 
"Finance and insurance, and real estate and rental and leasing",0.074,0.071, 
"Professional, scientific, and management, and administrative and waste management services",0.1,0.096, 
"Educational services, and health care and social assistance",0.222,0.241, 
"Arts, entertainment, and recreation, and accommodation and food services",0.115,0.067,*
Other services (except public administration),0.048,0.037, 
Public administration,0.059,0.063, 
, , , 
CLASS OF WORKER, , , 
Private wage and salary workers,0.787,0.784, 
Government workers,0.148,0.148, 
