Id,2015medianhousevalue,2014medianhousevalue,,percentchange
1500000US220710001001,329200,306300,22900,6.956257594
1500000US220710001002,235400,244400,-9000,-3.823279524
1500000US220710001003,228200,231800,-3600,-1.577563541
1500000US220710002001,122900,130600,-7700,-6.265256306
1500000US220710002002,174400,154200,20200,11.58256881
1500000US220710003001,90000,88500,1500,1.666666667
1500000US220710003002,120500,129700,-9200,-7.634854772
1500000US220710004001,162500,119400,43100,26.52307692
1500000US220710004002,110400,94800,15600,14.13043478
1500000US220710006011,-,-,,
1500000US220710006012,-,-,,
1500000US220710006021,96600,99000,-2400,-2.48447205
1500000US220710006022,94400,92400,2000,2.118644068
1500000US220710006023,125000,107900,17100,13.68
1500000US220710006031,108900,125000,-16100,-14.78420569
1500000US220710006032,75000,75000,0,0
1500000US220710006041,123800,127700,-3900,-3.150242326
1500000US220710006042,125300,138000,-12700,-10.13567438
1500000US220710006043,110600,113000,-2400,-2.169981917
1500000US220710006051,97300,99600,-2300,-2.363823227
1500000US220710006052,102800,89600,13200,12.84046693
1500000US220710006053,90000,60000,30000,33.33333333
1500000US220710006061,158000,155900,2100,1.329113924
1500000US220710006062,154900,150900,4000,2.582311168
1500000US220710006063,170500,166500,4000,2.346041056
1500000US220710006071,195900,193400,2500,1.276161307
1500000US220710006072,179900,183000,-3100,-1.723179544
1500000US220710006073,154900,156600,-1700,-1.097482247
1500000US220710006111,119400,108900,10500,8.793969849
1500000US220710006112,110200,106500,3700,3.35753176
1500000US220710006121,499100,497500,1600,0.320577039
1500000US220710006131,254300,212900,41400,16.27998427
1500000US220710006132,131600,217500,-85900,-65.27355623
1500000US220710006133,-,-,,
1500000US220710006151,161900,143800,18100,11.17974058
1500000US220710006161,139900,137000,2900,2.072909221
1500000US220710006162,159100,168500,-9400,-5.908233815
1500000US220710006163,175000,194900,-19900,-11.37142857
1500000US220710006171,-,-,,
1500000US220710006172,131800,121900,9900,7.51138088
1500000US220710006181,249400,249200,200,0.080192462
1500000US220710006182,196900,194000,2900,1.472828847
1500000US220710007011,-,-,,
1500000US220710007012,130400,95600,34800,26.68711656
1500000US220710007013,146300,150000,-3700,-2.529049897
1500000US220710007014,134700,90000,44700,33.18485523
1500000US220710007021,90000,88600,1400,1.555555556
1500000US220710007022,111800,122700,-10900,-9.749552773
1500000US220710007023,131800,56300,75500,57.28376328
1500000US220710007024,160800,153800,7000,4.353233831
1500000US220710008001,118800,98800,20000,16.83501684
1500000US220710008002,214400,121400,93000,43.37686567
1500000US220710008003,126500,91400,35100,27.74703557
1500000US220710009012,134400,92000,42400,31.54761905
1500000US220710009013,139100,-,,
1500000US220710009021,131300,112500,18800,14.31835491
1500000US220710009022,110900,111400,-500,-0.450856628
1500000US220710009023,105100,106900,-1800,-1.712654615
1500000US220710009024,112500,34800,77700,69.06666667
1500000US220710009031,178100,255800,-77700,-43.62717574
1500000US220710009032,85500,79400,6100,7.134502924
1500000US220710009041,154700,135100,19600,12.66968326
1500000US220710009042,106500,94200,12300,11.54929577
1500000US220710011001,125000,117600,7400,5.92
1500000US220710011002,273000,243000,30000,10.98901099
1500000US220710011003,-,-,,
1500000US220710012001,260300,214800,45500,17.47983096
1500000US220710012002,300000,194000,106000,35.33333333
1500000US220710012003,333500,301000,32500,9.745127436
1500000US220710013011,121900,150400,-28500,-23.37981952
1500000US220710013012,285600,276000,9600,3.361344538
1500000US220710013013,128100,155900,-27800,-21.70179547
1500000US220710013014,122200,119200,3000,2.454991817
1500000US220710013021,121300,88800,32500,26.79307502
1500000US220710013022,131900,131900,0,0
1500000US220710014011,157500,137500,20000,12.6984127
1500000US220710014012,131900,139500,-7600,-5.761940864
1500000US220710014013,90200,72100,18100,20.06651885
1500000US220710014014,74500,72500,2000,2.684563758
1500000US220710014015,55400,56600,-1200,-2.166064982
1500000US220710014016,78900,77300,1600,2.027883397
1500000US220710014021,122500,110600,11900,9.714285714
1500000US220710014022,201700,169800,31900,15.81556767
1500000US220710014023,89400,156800,-67400,-75.39149888
1500000US220710014024,101700,100900,800,0.786627335
1500000US220710015001,97800,150300,-52500,-53.6809816
1500000US220710015002,158500,121400,37100,23.40694006
1500000US220710016001,-,-,,
1500000US220710017011,140100,140900,-800,-0.5710207
1500000US220710017012,176600,156800,19800,11.21177803
1500000US220710017013,160400,165200,-4800,-2.992518703
1500000US220710017021,134800,128500,6300,4.673590504
1500000US220710017022,137200,146200,-9000,-6.559766764
1500000US220710017023,119900,121500,-1600,-1.334445371
1500000US220710017024,138100,126300,11800,8.544532947
1500000US220710017201,132300,125000,7300,5.517762661
1500000US220710017202,152000,155300,-3300,-2.171052632
1500000US220710017203,146000,161100,-15100,-10.34246575
1500000US220710017204,98300,108600,-10300,-10.47812818
1500000US220710017221,138900,97600,41300,29.73362131
1500000US220710017222,127100,98300,28800,22.65932337
1500000US220710017223,145800,125000,20800,14.26611797
1500000US220710017224,156300,158400,-2100,-1.343570058
1500000US220710017225,146100,144300,1800,1.232032854
1500000US220710017226,96000,99600,-3600,-3.75
1500000US220710017227,117500,109200,8300,7.063829787
1500000US220710017231,151200,148900,2300,1.521164021
1500000US220710017232,146000,154000,-8000,-5.479452055
1500000US220710017233,144300,130700,13600,9.424809425
1500000US220710017234,138000,138100,-100,-0.072463768
1500000US220710017241,175000,164600,10400,5.942857143
1500000US220710017242,168900,166500,2400,1.420959147
1500000US220710017243,116100,115400,700,0.60292851
1500000US220710017244,162500,163800,-1300,-0.8
1500000US220710017251,130000,137600,-7600,-5.846153846
1500000US220710017252,142300,141900,400,0.281096275
1500000US220710017253,163400,167000,-3600,-2.203182375
1500000US220710017254,176600,173700,2900,1.642129105
1500000US220710017301,145100,148600,-3500,-2.412129566
1500000US220710017341,229100,216400,12700,5.543430816
1500000US220710017351,155400,142900,12500,8.043758044
1500000US220710017352,141700,109600,32100,22.6534933
1500000US220710017361,-,-,,
1500000US220710017362,162700,165700,-3000,-1.84388445
1500000US220710017371,115600,116700,-1100,-0.951557093
1500000US220710017372,125000,127600,-2600,-2.08
1500000US220710017373,154800,155500,-700,-0.452196382
1500000US220710017391,189600,191400,-1800,-0.949367089
1500000US220710017392,188400,185000,3400,1.804670913
