Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Occupied,Margin of Error; Total: - Occupied,Estimate; Total: - Vacant,Margin of Error; Total: - Vacant
1500000US220710001001,2.21E+11,"Block Group 1, Census Tract 1, Orleans Parish, Louisiana",492,96,435,92,57,64
1500000US220710001002,2.21E+11,"Block Group 2, Census Tract 1, Orleans Parish, Louisiana",662,119,571,123,91,79
1500000US220710001003,2.21E+11,"Block Group 3, Census Tract 1, Orleans Parish, Louisiana",430,85,322,79,108,72
1500000US220710002001,2.21E+11,"Block Group 1, Census Tract 2, Orleans Parish, Louisiana",351,62,236,61,115,53
1500000US220710002002,2.21E+11,"Block Group 2, Census Tract 2, Orleans Parish, Louisiana",449,68,310,61,139,62
1500000US220710003001,2.21E+11,"Block Group 1, Census Tract 3, Orleans Parish, Louisiana",401,58,256,60,145,54
1500000US220710003002,2.21E+11,"Block Group 2, Census Tract 3, Orleans Parish, Louisiana",340,56,237,54,103,55
1500000US220710004001,2.21E+11,"Block Group 1, Census Tract 4, Orleans Parish, Louisiana",602,86,483,73,119,62
1500000US220710004002,2.21E+11,"Block Group 2, Census Tract 4, Orleans Parish, Louisiana",598,94,421,83,177,96
1500000US220710006011,2.21E+11,"Block Group 1, Census Tract 6.01, Orleans Parish, Louisiana",192,43,146,40,46,38
1500000US220710006012,2.21E+11,"Block Group 2, Census Tract 6.01, Orleans Parish, Louisiana",241,54,168,68,73,64
1500000US220710006021,2.21E+11,"Block Group 1, Census Tract 6.02, Orleans Parish, Louisiana",397,80,337,63,60,60
1500000US220710006022,2.21E+11,"Block Group 2, Census Tract 6.02, Orleans Parish, Louisiana",299,66,239,60,60,48
1500000US220710006023,2.21E+11,"Block Group 3, Census Tract 6.02, Orleans Parish, Louisiana",461,83,382,76,79,46
1500000US220710006031,2.21E+11,"Block Group 1, Census Tract 6.03, Orleans Parish, Louisiana",420,89,197,57,223,82
1500000US220710006032,2.21E+11,"Block Group 2, Census Tract 6.03, Orleans Parish, Louisiana",355,61,257,56,98,54
1500000US220710006041,2.21E+11,"Block Group 1, Census Tract 6.04, Orleans Parish, Louisiana",524,118,453,107,71,56
1500000US220710006042,2.21E+11,"Block Group 2, Census Tract 6.04, Orleans Parish, Louisiana",820,121,738,146,82,65
1500000US220710006043,2.21E+11,"Block Group 3, Census Tract 6.04, Orleans Parish, Louisiana",578,152,324,103,254,119
1500000US220710006051,2.21E+11,"Block Group 1, Census Tract 6.05, Orleans Parish, Louisiana",419,66,378,64,41,35
1500000US220710006052,2.21E+11,"Block Group 2, Census Tract 6.05, Orleans Parish, Louisiana",232,53,174,49,58,40
1500000US220710006053,2.21E+11,"Block Group 3, Census Tract 6.05, Orleans Parish, Louisiana",316,67,230,48,86,51
1500000US220710006061,2.21E+11,"Block Group 1, Census Tract 6.06, Orleans Parish, Louisiana",585,104,538,99,47,59
1500000US220710006062,2.21E+11,"Block Group 2, Census Tract 6.06, Orleans Parish, Louisiana",586,109,567,109,19,26
1500000US220710006063,2.21E+11,"Block Group 3, Census Tract 6.06, Orleans Parish, Louisiana",596,98,531,108,65,61
1500000US220710006071,2.21E+11,"Block Group 1, Census Tract 6.07, Orleans Parish, Louisiana",307,99,307,99,0,12
1500000US220710006072,2.21E+11,"Block Group 2, Census Tract 6.07, Orleans Parish, Louisiana",563,95,536,93,27,42
1500000US220710006073,2.21E+11,"Block Group 3, Census Tract 6.07, Orleans Parish, Louisiana",733,94,706,100,27,41
1500000US220710006111,2.21E+11,"Block Group 1, Census Tract 6.11, Orleans Parish, Louisiana",671,90,536,93,135,68
1500000US220710006112,2.21E+11,"Block Group 2, Census Tract 6.11, Orleans Parish, Louisiana",1112,104,974,106,138,58
1500000US220710006121,2.21E+11,"Block Group 1, Census Tract 6.12, Orleans Parish, Louisiana",642,48,538,68,104,71
1500000US220710006131,2.21E+11,"Block Group 1, Census Tract 6.13, Orleans Parish, Louisiana",297,85,289,86,8,17
1500000US220710006132,2.21E+11,"Block Group 2, Census Tract 6.13, Orleans Parish, Louisiana",644,130,520,132,124,71
1500000US220710006133,2.21E+11,"Block Group 3, Census Tract 6.13, Orleans Parish, Louisiana",1465,118,1243,130,222,76
1500000US220710006151,2.21E+11,"Block Group 1, Census Tract 6.15, Orleans Parish, Louisiana",657,121,621,132,36,48
1500000US220710006152,2.21E+11,"Block Group 2, Census Tract 6.15, Orleans Parish, Louisiana",1463,131,1065,173,398,159
1500000US220710006161,2.21E+11,"Block Group 1, Census Tract 6.16, Orleans Parish, Louisiana",410,111,348,101,62,58
1500000US220710006162,2.21E+11,"Block Group 2, Census Tract 6.16, Orleans Parish, Louisiana",957,124,491,150,466,149
1500000US220710006163,2.21E+11,"Block Group 3, Census Tract 6.16, Orleans Parish, Louisiana",636,126,636,126,0,12
1500000US220710006171,2.21E+11,"Block Group 1, Census Tract 6.17, Orleans Parish, Louisiana",1078,180,750,202,328,149
1500000US220710006172,2.21E+11,"Block Group 2, Census Tract 6.17, Orleans Parish, Louisiana",1302,194,1180,202,122,84
1500000US220710006181,2.21E+11,"Block Group 1, Census Tract 6.18, Orleans Parish, Louisiana",575,77,543,78,32,36
1500000US220710006182,2.21E+11,"Block Group 2, Census Tract 6.18, Orleans Parish, Louisiana",924,84,750,98,174,83
1500000US220710007011,2.21E+11,"Block Group 1, Census Tract 7.01, Orleans Parish, Louisiana",28,23,28,23,0,12
1500000US220710007012,2.21E+11,"Block Group 2, Census Tract 7.01, Orleans Parish, Louisiana",52,24,45,21,7,11
1500000US220710007013,2.21E+11,"Block Group 3, Census Tract 7.01, Orleans Parish, Louisiana",104,32,74,27,30,21
1500000US220710007014,2.21E+11,"Block Group 4, Census Tract 7.01, Orleans Parish, Louisiana",75,27,75,27,0,12
1500000US220710007021,2.21E+11,"Block Group 1, Census Tract 7.02, Orleans Parish, Louisiana",158,60,131,54,27,31
