Id,Id,Year,Total,White,Black or African American,American Indian or Alaskan Native,Asian,,Hispanic,Some other race
2.2071E+11,1500000US220710054001,1990,406,330,66,0,0,,20,10
2.2071E+11,1500000US220710030001,1990,504,7,476,9,0,,7,12
2.2071E+11,1500000US220710034003,1990,1451,118,1333,0,0,,22,0
2.2071E+11,1500000US220710009023,1990,379,0,379,0,0,,0,0
2.2071E+11,1500000US220710050003,1990,645,219,257,0,43,,196,126
2.2071E+11,1500000US220710009035,1990,829,0,829,0,0,,0,0
2.2071E+11,1500000US220710013021,1990,967,95,872,0,0,,0,0
2.2071E+11,1500000US220710040002,1990,551,6,545,0,0,,0,0
2.2071E+11,1500000US220710071004,1990,100,27,49,0,0,,24,24
2.2071E+11,1500000US220710065004,1990,1147,493,526,7,41,,167,80
2.2071E+11,1500000US220710009022,1990,561,0,561,0,0,,8,0
2.2071E+11,1500000US220710029003,1990,363,0,363,0,0,,0,0
2.2071E+11,1500000US220710009024,1990,655,0,655,0,0,,0,0
2.2071E+11,1500000US220710045003,1990,717,0,717,0,0,,13,0
2.2071E+11,1500000US220710040004,1990,1034,41,993,0,0,,8,0
2.2071E+11,1500000US220710034002,1990,481,21,460,0,0,,0,0
2.2071E+11,1500000US220710064001,1990,463,272,150,0,0,,68,41
2.2071E+11,1500000US220710013015,1990,608,38,570,0,0,,0,0
2.2071E+11,1500000US220710019001,1990,484,109,375,0,0,,49,0
2.2071E+11,1500000US220710015004,1990,550,119,431,0,0,,28,0
2.2071E+11,1500000US220710019003,1990,792,143,571,0,7,,126,71
2.2071E+11,1500000US220710019004,1990,534,0,534,0,0,,0,0
2.2071E+11,1500000US220710015003,1990,283,43,219,0,21,,2,0
2.2071E+11,1500000US220710014022,1990,588,11,577,0,0,,0,0
2.2071E+11,1500000US220710065003,1990,423,248,120,0,0,,99,55
2.2071E+11,1500000US220710045002,1990,927,67,860,0,0,,24,0
2.2071E+11,1500000US220710075011,1990,469,124,345,0,0,,0,0
2.2071E+11,1500000US220710045005,1990,438,30,408,0,0,,0,0
2.2071E+11,1500000US220710040001,1990,539,72,451,0,0,,16,16
2.2071E+11,1500000US220710050002,1990,386,282,53,0,15,,88,36
2.2071E+11,1500000US220710014021,1990,740,82,658,0,0,,47,0
2.2071E+11,1500000US220710075012,1990,544,69,475,0,0,,0,0
2.2071E+11,1500000US220710009027,1990,688,0,688,0,0,,7,0
2.2071E+11,1500000US220710034001,1990,80,0,80,0,0,,0,0
2.2071E+11,1500000US220710009011,1990,641,0,641,0,0,,0,0
2.2071E+11,1500000US220710007012,1990,992,0,992,0,0,,0,0
2.2071E+11,1500000US220710035003,1990,506,41,465,0,0,,50,0
2.2071E+11,1500000US220710020001,1990,895,91,786,0,0,,18,18
2.2071E+11,1500000US220710065002,1990,753,526,138,0,5,,166,84
2.2071E+11,1500000US220710020002,1990,663,106,540,0,0,,53,17
2.2071E+11,1500000US220710014024,1990,1008,0,1003,5,0,,0,0
2.2071E+11,1500000US220710020003,1990,621,54,567,0,0,,0,0
2.2071E+11,1500000US220710009025,1990,563,0,563,0,0,,0,0
2.2071E+11,1500000US220710050001,1990,174,102,44,0,0,,71,28
2.2071E+11,1500000US220710041003,1990,328,94,220,0,5,,9,9
2.2071E+11,1500000US220710076053,1990,468,48,420,0,0,,0,0
2.2071E+11,1500000US220710014023,1990,737,46,691,0,0,,20,0
2.2071E+11,1500000US220710009021,1990,382,5,377,0,0,,27,0
2.2071E+11,1500000US220710035002,1990,755,26,704,0,0,,6,25
2.2071E+11,1500000US220710029002,1990,879,17,862,0,0,,11,0
2.2071E+11,1500000US220710076052,1990,943,0,937,0,0,,33,6
2.2071E+11,1500000US220710029004,1990,566,0,543,0,0,,23,23
2.2071E+11,1500000US220710024013,1990,562,309,253,0,0,,38,0
2.2071E+11,1500000US220710033063,1990,3493,6,3487,0,0,,0,0
2.2071E+11,1500000US220710076041,1990,1315,1315,0,0,0,,37,0
2.2071E+11,1500000US220710056032,1990,487,465,0,0,22,,11,0
2.2071E+11,1500000US220710033051,1990,733,108,625,0,0,,0,0
2.2071E+11,1500000US220710024022,1990,732,235,497,0,0,,12,0
2.2071E+11,1500000US220710033083,1990,892,271,615,0,0,,79,6
2.2071E+11,1500000US220710024024,1990,746,370,351,14,0,,0,11
2.2071E+11,1500000US220710056043,1990,557,557,0,0,0,,39,0
2.2071E+11,1500000US220710024023,1990,439,127,267,0,22,,31,23
2.2071E+11,1500000US220710064003,1990,775,436,288,0,0,,275,51
2.2071E+11,1500000US220710045001,1990,808,225,565,0,10,,49,8
2.2071E+11,1500000US220710014025,1990,504,0,504,0,0,,0,0
2.2071E+11,1500000US220710033022,1990,1263,45,1218,0,0,,65,0
2.2071E+11,1500000US220710025033,1990,620,477,143,0,0,,7,0
2.2071E+11,1500000US220710033023,1990,1045,241,796,0,0,,16,8
2.2071E+11,1500000US220710056033,1990,494,494,0,0,0,,23,0
2.2071E+11,1500000US220710033071,1990,1226,26,1191,0,0,,21,9
2.2071E+11,1500000US220710017031,1990,2316,52,2226,9,29,,47,0
2.2071E+11,1500000US220710056031,1990,762,747,0,11,4,,0,0
2.2071E+11,1500000US220710056041,1990,588,584,0,0,4,,0,0
2.2071E+11,1500000US220710024021,1990,518,253,265,0,0,,60,0
2.2071E+11,1500000US220710033082,1990,252,164,78,10,0,,12,0
2.2071E+11,1500000US220710024025,1990,797,568,229,0,0,,17,0
2.2071E+11,1500000US220710017035,1990,540,258,275,0,7,,10,0
2.2071E+11,1500000US220710024011,1990,1161,414,732,0,0,,33,15
2.2071E+11,1500000US220710056042,1990,835,819,7,5,0,,12,4
2.2071E+11,1500000US220710056012,1990,999,982,0,5,0,,35,12
2.2071E+11,1500000US220710056023,1990,789,762,22,0,5,,21,0
2.2071E+11,1500000US220710033042,1990,673,281,352,0,14,,55,26
2.2071E+11,1500000US220710033043,1990,458,140,282,0,0,,52,36
2.2071E+11,1500000US220710033021,1990,843,395,435,0,0,,42,13
2.2071E+11,1500000US220710033025,1990,355,168,187,0,0,,0,0
2.2071E+11,1500000US220710033024,1990,454,283,165,0,0,,21,6
2.2071E+11,1500000US220710025032,1990,691,586,57,0,34,,48,14
2.2071E+11,1500000US220710025042,1990,715,502,203,0,0,,39,10
2.2071E+11,1500000US220710025043,1990,581,442,125,0,14,,7,0
2.2071E+11,1500000US220710017061,1990,222,0,222,0,0,,0,0
2.2071E+11,1500000US220710033081,1990,705,324,364,0,0,,22,17
2.2071E+11,1500000US220710033086,1990,600,9,591,0,0,,5,0
2.2071E+11,1500000US220710033085,1990,1898,121,1741,0,16,,20,20
2.2071E+11,1500000US220710025024,1990,436,138,298,0,0,,14,0
2.2071E+11,1500000US220710025014,1990,594,414,171,0,9,,75,0
2.2071E+11,1500000US220710017022,1990,765,125,605,0,0,,72,35
2.2071E+11,1500000US220710017023,1990,453,111,319,0,0,,41,23
2.2071E+11,1500000US220710017024,1990,771,177,594,0,0,,12,0
2.2071E+11,1500000US220710017991,1990,19,19,0,0,0,,0,0
2.2071E+11,1500000US220710076032,1990,1078,1067,11,0,0,,38,0
2.2071E+11,1500000US220710056022,1990,939,939,0,0,0,,20,0
2.2071E+11,1500000US220710017025,1990,888,324,564,0,0,,21,0
2.2071E+11,1500000US220710017026,1990,1336,1090,225,0,21,,33,0
2.2071E+11,1500000US220710025031,1990,593,443,133,0,0,,65,17
2.2071E+11,1500000US220710025044,1990,579,353,206,0,0,,20,20
2.2071E+11,1500000US220710025041,1990,640,324,316,0,0,,44,0
2.2071E+11,1500000US220710056013,1990,551,551,0,0,0,,58,0
2.2071E+11,1500000US220710076033,1990,1658,1636,0,0,0,,73,22
2.2071E+11,1500000US220710017227,1990,623,0,623,0,0,,0,0
2.2071E+11,1500000US220710046001,1990,0,0,0,0,0,,0,0
2.2071E+11,1500000US220710017203,1990,1901,128,1773,0,0,,74,0
2.2071E+11,1500000US220710056014,1990,631,614,0,0,17,,12,0
2.2071E+11,1500000US220710056011,1990,841,823,0,6,0,,25,12
2.2071E+11,1500000US220710025023,1990,896,159,725,12,0,,6,0
2.2071E+11,1500000US220710056024,1990,644,644,0,0,0,,8,0
2.2071E+11,1500000US220710017222,1990,1094,279,781,0,0,,0,34
2.2071E+11,1500000US220710056021,1990,780,766,0,0,0,,30,14
2.2071E+11,1500000US220710025013,1990,476,288,188,0,0,,12,0
2.2071E+11,1500000US220710017226,1990,1103,0,1103,0,0,,9,0
2.2071E+11,1500000US220710033041,1990,575,430,125,0,17,,14,3
2.2071E+11,1500000US220710017021,1990,492,132,360,0,0,,0,0
2.2071E+11,1500000US220710033044,1990,808,418,351,0,10,,90,29
2.2071E+11,1500000US220710033032,1990,578,393,135,0,36,,52,14
2.2071E+11,1500000US220710033033,1990,769,515,193,0,42,,73,19
2.2071E+11,1500000US220710033034,1990,675,474,157,18,10,,39,16
2.2071E+11,1500000US220710133016,1990,434,434,0,0,0,,22,0
2.2071E+11,1500000US220710017223,1990,1678,123,1555,0,0,,0,0
2.2071E+11,1500000US220710025022,1990,859,282,577,0,0,,76,0
2.2071E+11,1500000US220710017013,1990,920,0,920,0,0,,19,0
2.2071E+11,1500000US220710025012,1990,791,570,203,0,11,,56,7
2.2071E+11,1500000US220710017224,1990,622,62,560,0,0,,0,0
2.2071E+11,1500000US220710017225,1990,1796,94,1694,0,8,,18,0
2.2071E+11,1500000US220710033011,1990,1095,1011,84,0,0,,49,0
2.2071E+11,1500000US220710033012,1990,277,267,10,0,0,,0,0
2.2071E+11,1500000US220710033013,1990,575,536,39,0,0,,10,0
2.2071E+11,1500000US220710033014,1990,805,478,210,0,117,,14,0
2.2071E+11,1500000US220710017214,1990,2784,268,2496,20,0,,13,0
2.2071E+11,1500000US220710025021,1990,1120,106,1014,0,0,,31,0
