Id,Year,Estimate; Total:,Estimate; Total: - White alone,Estimate; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Hispanic,Estimate; Total: - Some Other Race alone,Estimate; Total: - Two or More Races:
1500000US220710001001,2010,974,686,251,3,3,1,47,5,25
1500000US220710001002,2010,877,597,234,2,5,1,71,24,14
1500000US220710001003,2010,604,513,72,1,1,0,41,2,15
1500000US220710002001,2010,613,88,502,1,0,0,23,5,17
1500000US220710002002,2010,584,70,502,2,0,0,10,7,3
1500000US220710003001,2010,666,19,636,0,0,0,6,3,8
1500000US220710003002,2010,565,64,473,9,5,0,12,5,9
1500000US220710004001,2010,1197,301,849,8,17,0,29,2,20
1500000US220710004002,2010,1131,22,1096,4,2,0,7,0,7
1500000US220710006011,2010,218,3,214,0,0,0,1,0,1
1500000US220710006012,2010,631,2,613,0,0,0,12,11,5
1500000US220710006021,2010,784,102,641,0,6,0,50,22,13
1500000US220710006022,2010,809,54,727,0,0,1,22,13,14
1500000US220710006023,2010,941,74,845,1,0,0,24,11,10
1500000US220710006031,2010,659,61,447,8,47,0,142,82,14
1500000US220710006032,2010,946,47,807,15,8,0,128,57,12
1500000US220710006041,2010,1455,107,1290,9,7,0,66,12,30
1500000US220710006042,2010,1478,421,950,6,29,0,113,37,35
1500000US220710006043,2010,992,36,911,1,2,0,47,27,15
1500000US220710006051,2010,870,154,689,1,0,1,34,10,15
1500000US220710006052,2010,530,99,416,0,0,0,20,10,5
1500000US220710006053,2010,805,336,401,6,20,1,78,26,15
1500000US220710006061,2010,1355,674,601,5,36,0,80,17,22
1500000US220710006062,2010,1536,592,811,8,45,0,139,56,24
1500000US220710006063,2010,1455,416,960,2,28,0,70,15,34
1500000US220710006071,2010,743,351,382,3,2,0,27,1,4
1500000US220710006072,2010,1218,806,365,2,14,0,60,13,18
1500000US220710006073,2010,1748,1034,569,7,44,2,118,38,54
1500000US220710006111,2010,1680,17,1643,3,3,0,10,1,13
1500000US220710006112,2010,2330,79,1704,6,443,0,133,68,30
1500000US220710006121,2010,1759,1156,347,4,170,0,123,16,66
1500000US220710006131,2010,780,145,581,5,25,0,52,16,8
1500000US220710006132,2010,1057,92,902,4,9,1,55,35,14
1500000US220710006133,2010,1919,364,1513,0,7,0,49,25,10
1500000US220710006151,2010,1642,657,843,6,72,2,103,33,29
1500000US220710006152,2010,2372,344,1892,7,30,0,163,64,35
1500000US220710006161,2010,1152,362,718,5,28,0,61,25,14
1500000US220710006162,2010,1874,294,1524,2,24,0,29,14,16
