Id,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Hispanic,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1500000US220710001001,"Block Group 1, Census Tract 1, Orleans Parish, Louisiana",902,240,682,172,77,66,0,12,0,12,0,12,143,110,166,33,52,0,12,33,52
1500000US220710001002,"Block Group 2, Census Tract 1, Orleans Parish, Louisiana",1048,248,768,183,235,188,0,12,0,12,0,12,12,0,12,45,65,0,12,45,65
1500000US220710001003,"Block Group 3, Census Tract 1, Orleans Parish, Louisiana",682,180,597,178,67,76,0,12,0,12,0,12,100,6,16,12,20,0,12,12,20
1500000US220710002001,"Block Group 1, Census Tract 2, Orleans Parish, Louisiana",491,154,90,58,401,151,0,12,0,12,0,12,37,0,12,0,12,0,12,0,12
1500000US220710002002,"Block Group 2, Census Tract 2, Orleans Parish, Louisiana",742,314,181,122,514,285,0,12,0,12,0,12,82,11,17,36,29,0,12,36,29
1500000US220710003001,"Block Group 1, Census Tract 3, Orleans Parish, Louisiana",528,198,30,24,498,195,0,12,0,12,0,12,0,0,12,0,12,0,12,0,12
1500000US220710003002,"Block Group 2, Census Tract 3, Orleans Parish, Louisiana",486,169,75,57,407,146,0,12,0,12,0,12,10,4,7,0,12,0,12,0,12
1500000US220710004001,"Block Group 1, Census Tract 4, Orleans Parish, Louisiana",946,225,343,120,561,161,0,12,0,12,0,12,38,0,12,42,64,0,12,42,64
1500000US220710004002,"Block Group 2, Census Tract 4, Orleans Parish, Louisiana",1243,313,3,4,1209,313,0,12,0,12,0,12,0,0,12,31,45,0,12,31,45
1500000US220710006011,"Block Group 1, Census Tract 6.01, Orleans Parish, Louisiana",283,103,0,12,283,103,0,12,0,12,0,12,0,0,12,0,12,0,12,0,12
1500000US220710006012,"Block Group 2, Census Tract 6.01, Orleans Parish, Louisiana",635,241,0,12,635,241,0,12,0,12,0,12,0,0,12,0,12,0,12,0,12
1500000US220710006021,"Block Group 1, Census Tract 6.02, Orleans Parish, Louisiana",811,222,117,65,682,219,6,10,0,12,0,12,25,6,9,0,12,0,12,0,12
1500000US220710006022,"Block Group 2, Census Tract 6.02, Orleans Parish, Louisiana",945,299,24,32,921,302,0,12,0,12,0,12,0,0,12,0,12,0,12,0,12
1500000US220710006023,"Block Group 3, Census Tract 6.02, Orleans Parish, Louisiana",1301,321,73,54,1211,314,0,12,17,23,0,12,0,0,12,0,12,0,12,0,12
1500000US220710006031,"Block Group 1, Census Tract 6.03, Orleans Parish, Louisiana",691,243,21,22,292,207,0,12,12,17,0,12,381,345,300,21,24,0,12,21,24
1500000US220710006032,"Block Group 2, Census Tract 6.03, Orleans Parish, Louisiana",699,192,36,30,558,202,22,39,64,78,0,12,66,0,12,19,27,0,12,19,27
1500000US220710006041,"Block Group 1, Census Tract 6.04, Orleans Parish, Louisiana",1848,550,155,140,1598,534,0,12,9,15,0,12,54,74,136,12,19,0,12,12,19
1500000US220710006042,"Block Group 2, Census Tract 6.04, Orleans Parish, Louisiana",1508,354,329,142,1107,372,0,12,31,45,0,12,104,6,21,35,57,0,12,35,57
1500000US220710006043,"Block Group 3, Census Tract 6.04, Orleans Parish, Louisiana",1626,520,14,16,1612,519,0,12,0,12,0,12,0,0,12,0,12,0,12,0,12
1500000US220710006051,"Block Group 1, Census Tract 6.05, Orleans Parish, Louisiana",781,222,166,101,615,203,0,12,0,12,0,12,9,0,12,0,12,0,12,0,12
1500000US220710006052,"Block Group 2, Census Tract 6.05, Orleans Parish, Louisiana",627,263,86,80,541,245,0,12,0,12,0,12,0,0,12,0,12,0,12,0,12
1500000US220710006053,"Block Group 3, Census Tract 6.05, Orleans Parish, Louisiana",691,177,513,167,169,88,0,12,3,7,0,12,44,6,13,0,12,0,12,0,12
1500000US220710006061,"Block Group 1, Census Tract 6.06, Orleans Parish, Louisiana",1860,377,857,217,893,315,0,12,43,77,0,12,209,0,12,67,85,0,12,67,85
1500000US220710006062,"Block Group 2, Census Tract 6.06, Orleans Parish, Louisiana",953,232,337,143,588,202,0,12,0,12,0,12,0,14,20,14,21,0,12,14,21
1500000US220710006063,"Block Group 3, Census Tract 6.06, Orleans Parish, Louisiana",1394,311,541,174,769,260,6,10,78,87,0,12,31,0,12,0,12,0,12,0,12
1500000US220710006071,"Block Group 1, Census Tract 6.07, Orleans Parish, Louisiana",837,311,312,147,525,322,0,12,0,12,0,12,46,0,12,0,12,0,12,0,12
1500000US220710006072,"Block Group 2, Census Tract 6.07, Orleans Parish, Louisiana",1330,352,696,242,608,360,0,12,0,12,0,12,80,0,12,26,45,26,45,0,12
1500000US220710006073,"Block Group 3, Census Tract 6.07, Orleans Parish, Louisiana",1791,273,1230,261,561,216,0,12,0,12,0,12,90,0,12,0,12,0,12,0,12
1500000US220710006111,"Block Group 1, Census Tract 6.11, Orleans Parish, Louisiana",1742,403,9,14,1681,401,0,12,52,53,0,12,0,0,12,0,12,0,12,0,12
1500000US220710006112,"Block Group 2, Census Tract 6.11, Orleans Parish, Louisiana",2566,464,52,87,1642,324,0,12,574,238,0,12,350,298,356,0,12,0,12,0,12
1500000US220710006121,"Block Group 1, Census Tract 6.12, Orleans Parish, Louisiana",1797,245,1042,200,474,271,24,28,80,92,0,12,106,110,99,67,81,0,12,67,81
1500000US220710006131,"Block Group 1, Census Tract 6.13, Orleans Parish, Louisiana",1038,360,48,33,960,368,0,12,10,15,0,12,0,0,12,20,32,0,12,20,32
1500000US220710006132,"Block Group 2, Census Tract 6.13, Orleans Parish, Louisiana",1493,370,112,87,1381,368,0,12,0,12,0,12,46,0,12,0,12,0,12,0,12
1500000US220710006133,"Block Group 3, Census Tract 6.13, Orleans Parish, Louisiana",2265,559,410,129,1846,491,0,12,9,13,0,12,26,0,12,0,12,0,12,0,12
1500000US220710006151,"Block Group 1, Census Tract 6.15, Orleans Parish, Louisiana",2071,419,641,248,1310,392,6,11,114,174,0,12,31,0,12,0,12,0,12,0,12
1500000US220710006152,"Block Group 2, Census Tract 6.15, Orleans Parish, Louisiana",1722,336,382,178,1315,319,0,12,16,25,0,12,11,0,12,9,14,0,12,9,14
1500000US220710006161,"Block Group 1, Census Tract 6.16, Orleans Parish, Louisiana",1029,319,297,171,732,271,0,12,0,12,0,12,51,0,12,0,12,0,12,0,12
