Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1500000US220710001001,2.21E+11,"Block Group 1, Census Tract 1, Orleans Parish, Louisiana",845,243,621,178,78,65,0,12,0,12,0,12,98,153,48,72,0,12,48,72
1500000US220710001002,2.21E+11,"Block Group 2, Census Tract 1, Orleans Parish, Louisiana",1278,296,822,191,379,240,0,12,0,12,0,12,0,12,77,93,0,12,77,93
1500000US220710001003,2.21E+11,"Block Group 3, Census Tract 1, Orleans Parish, Louisiana",547,145,494,146,33,35,0,12,0,12,0,12,8,18,12,18,0,12,12,18
1500000US220710002001,2.21E+11,"Block Group 1, Census Tract 2, Orleans Parish, Louisiana",462,127,93,62,369,121,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US220710002002,2.21E+11,"Block Group 2, Census Tract 2, Orleans Parish, Louisiana",751,229,186,103,519,198,0,12,0,12,0,12,11,18,35,29,0,12,35,29
1500000US220710003001,2.21E+11,"Block Group 1, Census Tract 3, Orleans Parish, Louisiana",528,165,44,35,484,163,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US220710003002,2.21E+11,"Block Group 2, Census Tract 3, Orleans Parish, Louisiana",578,167,81,58,492,155,0,12,0,12,0,12,5,7,0,12,0,12,0,12
1500000US220710004001,2.21E+11,"Block Group 1, Census Tract 4, Orleans Parish, Louisiana",1013,177,297,79,691,156,0,12,23,29,0,12,0,12,2,5,0,12,2,5
1500000US220710004002,2.21E+11,"Block Group 2, Census Tract 4, Orleans Parish, Louisiana",1447,375,3,6,1411,367,0,12,0,12,0,12,0,12,33,47,0,12,33,47
1500000US220710006011,2.21E+11,"Block Group 1, Census Tract 6.01, Orleans Parish, Louisiana",252,94,0,12,252,94,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US220710006012,2.21E+11,"Block Group 2, Census Tract 6.01, Orleans Parish, Louisiana",685,283,0,12,685,283,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US220710006021,2.21E+11,"Block Group 1, Census Tract 6.02, Orleans Parish, Louisiana",989,271,116,55,843,260,4,7,0,12,0,12,19,24,7,14,0,12,7,14
1500000US220710006022,2.21E+11,"Block Group 2, Census Tract 6.02, Orleans Parish, Louisiana",640,259,26,30,614,262,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US220710006023,2.21E+11,"Block Group 3, Census Tract 6.02, Orleans Parish, Louisiana",1331,361,83,62,1230,368,0,12,18,28,0,12,0,12,0,12,0,12,0,12
1500000US220710006031,2.21E+11,"Block Group 1, Census Tract 6.03, Orleans Parish, Louisiana",409,158,25,20,251,133,0,12,10,15,0,12,116,143,7,13,0,12,7,13
