Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - With other types of income,Margin of Error; Total: - With other types of income,Estimate; Total: - No other types of income,Margin of Error; Total: - No other types of income
1500000US220710001001,2.2071E+11,"Block Group 1, Census Tract 1, Orleans Parish, Louisiana",435,92,22,27,413,89
1500000US220710001002,2.2071E+11,"Block Group 2, Census Tract 1, Orleans Parish, Louisiana",571,123,31,31,540,124
1500000US220710001003,2.2071E+11,"Block Group 3, Census Tract 1, Orleans Parish, Louisiana",322,79,20,19,302,81
1500000US220710002001,2.2071E+11,"Block Group 1, Census Tract 2, Orleans Parish, Louisiana",236,61,7,12,229,59
1500000US220710002002,2.2071E+11,"Block Group 2, Census Tract 2, Orleans Parish, Louisiana",310,61,0,12,310,61
1500000US220710003001,2.2071E+11,"Block Group 1, Census Tract 3, Orleans Parish, Louisiana",256,60,17,14,239,62
1500000US220710003002,2.2071E+11,"Block Group 2, Census Tract 3, Orleans Parish, Louisiana",237,54,13,21,224,50
1500000US220710004001,2.2071E+11,"Block Group 1, Census Tract 4, Orleans Parish, Louisiana",483,73,112,66,371,72
1500000US220710004002,2.2071E+11,"Block Group 2, Census Tract 4, Orleans Parish, Louisiana",421,83,66,41,355,88
1500000US220710006011,2.2071E+11,"Block Group 1, Census Tract 6.01, Orleans Parish, Louisiana",146,40,11,15,135,39
1500000US220710006012,2.2071E+11,"Block Group 2, Census Tract 6.01, Orleans Parish, Louisiana",168,68,43,30,125,72
1500000US220710006021,2.2071E+11,"Block Group 1, Census Tract 6.02, Orleans Parish, Louisiana",337,63,24,20,313,66
1500000US220710006022,2.2071E+11,"Block Group 2, Census Tract 6.02, Orleans Parish, Louisiana",239,60,55,41,184,57
1500000US220710006023,2.2071E+11,"Block Group 3, Census Tract 6.02, Orleans Parish, Louisiana",382,76,20,18,362,77
1500000US220710006031,2.2071E+11,"Block Group 1, Census Tract 6.03, Orleans Parish, Louisiana",197,57,5,9,192,58
1500000US220710006032,2.2071E+11,"Block Group 2, Census Tract 6.03, Orleans Parish, Louisiana",257,56,33,29,224,61
1500000US220710006041,2.2071E+11,"Block Group 1, Census Tract 6.04, Orleans Parish, Louisiana",453,107,114,68,339,97
1500000US220710006042,2.2071E+11,"Block Group 2, Census Tract 6.04, Orleans Parish, Louisiana",738,146,31,25,707,147
1500000US220710006043,2.2071E+11,"Block Group 3, Census Tract 6.04, Orleans Parish, Louisiana",324,103,22,25,302,102
1500000US220710006051,2.2071E+11,"Block Group 1, Census Tract 6.05, Orleans Parish, Louisiana",378,64,20,20,358,62
1500000US220710006052,2.2071E+11,"Block Group 2, Census Tract 6.05, Orleans Parish, Louisiana",174,49,18,18,156,46
1500000US220710006053,2.2071E+11,"Block Group 3, Census Tract 6.05, Orleans Parish, Louisiana",230,48,37,31,193,46
1500000US220710006061,2.2071E+11,"Block Group 1, Census Tract 6.06, Orleans Parish, Louisiana",538,99,46,50,492,92
1500000US220710006062,2.2071E+11,"Block Group 2, Census Tract 6.06, Orleans Parish, Louisiana",567,109,19,22,548,110
1500000US220710006063,2.2071E+11,"Block Group 3, Census Tract 6.06, Orleans Parish, Louisiana",531,108,51,38,480,106
1500000US220710006071,2.2071E+11,"Block Group 1, Census Tract 6.07, Orleans Parish, Louisiana",307,99,36,34,271,98
1500000US220710006072,2.2071E+11,"Block Group 2, Census Tract 6.07, Orleans Parish, Louisiana",536,93,98,66,438,103
1500000US220710006073,2.2071E+11,"Block Group 3, Census Tract 6.07, Orleans Parish, Louisiana",706,100,108,63,598,110
1500000US220710006111,2.2071E+11,"Block Group 1, Census Tract 6.11, Orleans Parish, Louisiana",536,93,41,36,495,98
1500000US220710006112,2.2071E+11,"Block Group 2, Census Tract 6.11, Orleans Parish, Louisiana",974,106,89,73,885,112
1500000US220710006121,2.2071E+11,"Block Group 1, Census Tract 6.12, Orleans Parish, Louisiana",538,68,54,35,484,71
1500000US220710006131,2.2071E+11,"Block Group 1, Census Tract 6.13, Orleans Parish, Louisiana",289,86,48,43,241,85
1500000US220710006132,2.2071E+11,"Block Group 2, Census Tract 6.13, Orleans Parish, Louisiana",520,132,98,57,422,118
1500000US220710006133,2.2071E+11,"Block Group 3, Census Tract 6.13, Orleans Parish, Louisiana",1243,130,176,89,1067,149
1500000US220710006151,2.2071E+11,"Block Group 1, Census Tract 6.15, Orleans Parish, Louisiana",621,132,105,85,516,125
1500000US220710006152,2.2071E+11,"Block Group 2, Census Tract 6.15, Orleans Parish, Louisiana",1065,173,123,85,942,172
1500000US220710006161,2.2071E+11,"Block Group 1, Census Tract 6.16, Orleans Parish, Louisiana",348,101,38,36,310,108
1500000US220710006162,2.2071E+11,"Block Group 2, Census Tract 6.16, Orleans Parish, Louisiana",491,150,65,62,426,150
1500000US220710006163,2.2071E+11,"Block Group 3, Census Tract 6.16, Orleans Parish, Louisiana",636,126,79,46,557,122
1500000US220710006171,2.2071E+11,"Block Group 1, Census Tract 6.17, Orleans Parish, Louisiana",750,202,116,116,634,194
1500000US220710006172,2.2071E+11,"Block Group 2, Census Tract 6.17, Orleans Parish, Louisiana",1180,202,47,42,1133,208
1500000US220710006181,2.2071E+11,"Block Group 1, Census Tract 6.18, Orleans Parish, Louisiana",543,78,43,36,500,83
