GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
VD01,Total:
VD02,Population of one race:
VD03,Population of one race: - White alone
VD04,Population of one race: - Black or African American alone
VD05,Population of one race: - American Indian and Alaska Native alone
VD06,Population of one race: - Asian alone
VD07,Population of one race: - Native Hawaiian and Other Pacific Islander alone
VD08,Population of one race: - Some other race alone
VD09,Population of two or more races:
VD10,Population of two or more races: - Population of two races:
VD11,Population of two or more races: - Population of two races: - White; Black or African American
VD12,Population of two or more races: - Population of two races: - White; American Indian and Alaska Native
VD13,Population of two or more races: - Population of two races: - White; Asian
VD14,Population of two or more races: - Population of two races: - White; Native Hawaiian and Other Pacific Islander
VD15,Population of two or more races: - Population of two races: - White; Some other race
VD16,Population of two or more races: - Population of two races: - Black or African American; American Indian and Alaska Native
VD17,Population of two or more races: - Population of two races: - Black or African American; Asian
VD18,Population of two or more races: - Population of two races: - Black or African American; Native Hawaiian and Other Pacific Islander
VD19,Population of two or more races: - Population of two races: - Black or African American; Some other race
VD20,Population of two or more races: - Population of two races: - American Indian and Alaska Native; Asian
VD21,Population of two or more races: - Population of two races: - American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander
VD22,Population of two or more races: - Population of two races: - American Indian and Alaska Native; Some other race
VD23,Population of two or more races: - Population of two races: - Asian; Native Hawaiian and Other Pacific Islander
VD24,Population of two or more races: - Population of two races: - Asian; Some other race
VD25,Population of two or more races: - Population of two races: - Native Hawaiian and Other Pacific Islander; Some other race
VD26,Population of two or more races: - Population of three races:
VD27,Population of two or more races: - Population of three races: - White; Black or African American; American Indian and Alaska Native
VD28,Population of two or more races: - Population of three races: - White; Black or African American; Asian
VD29,Population of two or more races: - Population of three races: - White; Black or African American; Native Hawaiian and Other Pacific Islander
VD30,Population of two or more races: - Population of three races: - White; Black or African American; Some other race
VD31,Population of two or more races: - Population of three races: - White; American Indian and Alaska Native; Asian
VD32,Population of two or more races: - Population of three races: - White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander
VD33,Population of two or more races: - Population of three races: - White; American Indian and Alaska Native; Some other race
VD34,Population of two or more races: - Population of three races: - White; Asian; Native Hawaiian and Other Pacific Islander
VD35,Population of two or more races: - Population of three races: - White; Asian; Some other race
VD36,Population of two or more races: - Population of three races: - White; Native Hawaiian and Other Pacific Islander; Some other race
VD37,Population of two or more races: - Population of three races: - Black or African American; American Indian and Alaska Native; Asian
VD38,Population of two or more races: - Population of three races: - Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander
VD39,Population of two or more races: - Population of three races: - Black or African American; American Indian and Alaska Native; Some other race
VD40,Population of two or more races: - Population of three races: - Black or African American; Asian; Native Hawaiian and Other Pacific Islander
VD41,Population of two or more races: - Population of three races: - Black or African American; Asian; Some other race
VD42,Population of two or more races: - Population of three races: - Black or African American; Native Hawaiian and Other Pacific Islander; Some other race
VD43,Population of two or more races: - Population of three races: - American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander
VD44,Population of two or more races: - Population of three races: - American Indian and Alaska Native; Asian; Some other race
VD45,Population of two or more races: - Population of three races: - American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some other race
VD46,Population of two or more races: - Population of three races: - Asian; Native Hawaiian and Other Pacific Islander; Some other race
VD47,Population of two or more races: - Population of four races:
VD48,Population of two or more races: - Population of four races: - White; Black or African American; American Indian and Alaska Native; Asian
VD49,Population of two or more races: - Population of four races: - White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander
VD50,Population of two or more races: - Population of four races: - White; Black or African American; American Indian and Alaska Native; Some other race
VD51,Population of two or more races: - Population of four races: - White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander
VD52,Population of two or more races: - Population of four races: - White; Black or African American; Asian; Some other race
VD53,Population of two or more races: - Population of four races: - White; Black or African American; Native Hawaiian and Other Pacific Islander; Some other race
VD54,Population of two or more races: - Population of four races: - White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander
VD55,Population of two or more races: - Population of four races: - White; American Indian and Alaska Native; Asian; Some other race
VD56,Population of two or more races: - Population of four races: - White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some other race
VD57,Population of two or more races: - Population of four races: - White; Asian; Native Hawaiian and Other Pacific Islander; Some other race
VD58,Population of two or more races: - Population of four races: - Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander
VD59,Population of two or more races: - Population of four races: - Black or African American; American Indian and Alaska Native; Asian; Some other race
VD60,Population of two or more races: - Population of four races: - Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some other race
VD61,Population of two or more races: - Population of four races: - Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some other race
VD62,Population of two or more races: - Population of four races: - American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some other race
VD63,Population of two or more races: - Population of five races:
VD64,Population of two or more races: - Population of five races: - White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander
VD65,Population of two or more races: - Population of five races: - White; Black or African American; American Indian and Alaska Native; Asian; Some other race
VD66,Population of two or more races: - Population of five races: - White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some other race
VD67,Population of two or more races: - Population of five races: - White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some other race
