GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD09,VD10,VD11,VD12,VD13,VD14,VD15,VD16,VD17,VD18,VD19,VD20,VD21,VD22,VD23,VD24,VD25,VD26,VD27,VD28,VD29,VD30,VD31,VD32,VD33,VD34,VD35,VD36,VD37,VD38,VD39,VD40,VD41,VD42,VD43,VD44,VD45,VD46,VD47,VD48,VD49,VD50,VD51,VD52,VD53,VD54,VD55,VD56,VD57,VD58,VD59,VD60,VD61,VD62,VD63,VD64,VD65,VD66,VD67,VD68,VD69,VD70,VD71
Id,Id2,Geography,Total:,Population of one race:,Population of one race: - White alone,Population of one race: - Black or African American alone,Population of one race: - American Indian and Alaska Native alone,Population of one race: - Asian alone,Population of one race: - Native Hawaiian and Other Pacific Islander alone,Population of one race: - Some other race alone,Population of two or more races:,Population of two or more races: - Population of two races:,Population of two or more races: - Population of two races: - White; Black or African American,Population of two or more races: - Population of two races: - White; American Indian and Alaska Native,Population of two or more races: - Population of two races: - White; Asian,Population of two or more races: - Population of two races: - White; Native Hawaiian and Other Pacific Islander,Population of two or more races: - Population of two races: - White; Some other race,Population of two or more races: - Population of two races: - Black or African American; American Indian and Alaska Native,Population of two or more races: - Population of two races: - Black or African American; Asian,Population of two or more races: - Population of two races: - Black or African American; Native Hawaiian and Other Pacific Islander,Population of two or more races: - Population of two races: - Black or African American; Some other race,Population of two or more races: - Population of two races: - American Indian and Alaska Native; Asian,Population of two or more races: - Population of two races: - American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,Population of two or more races: - Population of two races: - American Indian and Alaska Native; Some other race,Population of two or more races: - Population of two races: - Asian; Native Hawaiian and Other Pacific Islander,Population of two or more races: - Population of two races: - Asian; Some other race,Population of two or more races: - Population of two races: - Native Hawaiian and Other Pacific Islander; Some other race,Population of two or more races: - Population of three races:,Population of two or more races: - Population of three races: - White; Black or African American; American Indian and Alaska Native,Population of two or more races: - Population of three races: - White; Black or African American; Asian,Population of two or more races: - Population of three races: - White; Black or African American; Native Hawaiian and Other Pacific Islander,Population of two or more races: - Population of three races: - White; Black or African American; Some other race,Population of two or more races: - Population of three races: - White; American Indian and Alaska Native; Asian,Population of two or more races: - Population of three races: - White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,Population of two or more races: - Population of three races: - White; American Indian and Alaska Native; Some other race,Population of two or more races: - Population of three races: - White; Asian; Native Hawaiian and Other Pacific Islander,Population of two or more races: - Population of three races: - White; Asian; Some other race,Population of two or more races: - Population of three races: - White; Native Hawaiian and Other Pacific Islander; Some other race,Population of two or more races: - Population of three races: - Black or African American; American Indian and Alaska Native; Asian,Population of two or more races: - Population of three races: - Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,Population of two or more races: - Population of three races: - Black or African American; American Indian and Alaska Native; Some other race,Population of two or more races: - Population of three races: - Black or African American; Asian; Native Hawaiian and Other Pacific Islander,Population of two or more races: - Population of three races: - Black or African American; Asian; Some other race,Population of two or more races: - Population of three races: - Black or African American; Native Hawaiian and Other Pacific Islander; Some other race,Population of two or more races: - Population of three races: - American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,Population of two or more races: - Population of three races: - American Indian and Alaska Native; Asian; Some other race,Population of two or more races: - Population of three races: - American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some other race,Population of two or more races: - Population of three races: - Asian; Native Hawaiian and Other Pacific Islander; Some other race,Population of two or more races: - Population of four races:,Population of two or more races: - Population of four races: - White; Black or African American; American Indian and Alaska Native; Asian,Population of two or more races: - Population of four races: - White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,Population of two or more races: - Population of four races: - White; Black or African American; American Indian and Alaska Native; Some other race,Population of two or more races: - Population of four races: - White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander,Population of two or more races: - Population of four races: - White; Black or African American; Asian; Some other race,Population of two or more races: - Population of four races: - White; Black or African American; Native Hawaiian and Other Pacific Islander; Some other race,Population of two or more races: - Population of four races: - White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,Population of two or more races: - Population of four races: - White; American Indian and Alaska Native; Asian; Some other race,Population of two or more races: - Population of four races: - White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some other race,Population of two or more races: - Population of four races: - White; Asian; Native Hawaiian and Other Pacific Islander; Some other race,Population of two or more races: - Population of four races: - Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,Population of two or more races: - Population of four races: - Black or African American; American Indian and Alaska Native; Asian; Some other race,Population of two or more races: - Population of four races: - Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some other race,Population of two or more races: - Population of four races: - Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some other race,Population of two or more races: - Population of four races: - American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some other race,Population of two or more races: - Population of five races:,Population of two or more races: - Population of five races: - White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,Population of two or more races: - Population of five races: - White; Black or African American; American Indian and Alaska Native; Asian; Some other race,Population of two or more races: - Population of five races: - White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some other race,Population of two or more races: - Population of five races: - White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some other race,Population of two or more races: - Population of five races: - White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander;  Some other race,Population of two or more races: - Population of five races: - Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some other race,Population of two or more races: - Population of six races:,Population of two or more races: - Population of six races: - White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some other race
1500000US220710001001,220710001001,"Block Group 1, Census Tract 1, Orleans Parish, Louisiana",873,865,572,264,7,9,0,13,8,8,1,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US220710001002,220710001002,"Block Group 2, Census Tract 1, Orleans Parish, Louisiana",878,869,578,276,3,6,0,6,9,9,4,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US220710001003,220710001003,"Block Group 3, Census Tract 1, Orleans Parish, Louisiana",630,612,532,61,2,6,1,10,18,18,0,7,6,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US220710002001,220710002001,"Block Group 1, Census Tract 2, Orleans Parish, Louisiana",734,721,103,599,3,10,0,6,13,7,1,4,0,0,2,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US220710002002,220710002002,"Block Group 2, Census Tract 2, Orleans Parish, Louisiana",613,610,96,507,2,4,0,1,3,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1500000US220710003001,220710003001,"Block Group 1, Census Tract 3, Orleans Parish, Louisiana",830,825,20,802,0,2,0,1,5,4,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US220710003002,220710003002,"Block Group 2, Census Tract 3, Orleans Parish, Louisiana",638,634,64,567,0,0,0,3,4,4,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US220710004001,220710004001,"Block Group 1, Census Tract 4, Orleans Parish, Louisiana",1305,1283,260,1001,0,14,0,8,22,22,11,3,2,0,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US220710004002,220710004002,"Block Group 2, Census Tract 4, Orleans Parish, Louisiana",1259,1253,39,1192,6,0,0,16,6,5,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
