year,exporter,expAddress,exporterCity,quant,units,importer,impAddress,impCity,,
2005,CLEAN HARBORS INC,11800 SOUTH STONY ISLAND AVENUE,CHICAGO,2365.88125,l,CLEAN HARBORS INC,1829 ALLANPORT ROAD,THOROLD,,
2005,CLEAN HARBORS INC,1910 RUSSELL STREET,BALTIMORE,18.92705,l,CLEAN HARBORS INC,1829 ALLANPORT ROAD,THOROLD,,
2005,CLEAN HARBORS INC,1910 RUSSELL STREET,BALTIMORE,113.5623,l,CLEAN HARBORS INC,1829 ALLANPORT ROAD,THOROLD,,
2005,CLEAN HARBORS INC,11800 SOUTH STONY ISLAND AVENUE,CHICAGO,17564.3024,l,CLEAN HARBORS INC,1829 ALLANPORT ROAD,THOROLD,,
2005,CLEAN HARBORS INC,208 WATLINGTON INDUSTRIAL DRIVE,REIDSVILLE,123828.9382,kg,CLEAN HARBORS INC,R.R #1 4090 TELFER ROAD,CORUNNA,,
2005,CLEAN HARBORS INC,208 WATLINGTON INDUSTRIAL DRIVE,REIDSVILLE,5409.544157,kg,CLEAN HARBORS INC,R.R #1 4090 TELFER ROAD,CORUNNA,,
2005,SAFETY KLEEN ENVIROSYSTEMS CO - DOLTON RECYCLE CENTER,633 EAST 138TH STREET,DOLTON,183940,kg,CLEAN HARBORS INC,R.R #1 4090 TELFER ROAD,CORUNNA,,
2005,CLEAN HARBORS INC,208 WATLINGTON INDUSTRIAL DRIVE,REIDSVILLE,105191.2759,kg,CLEAN HARBORS INC,R.R #1 4090 TELFER ROAD,CORUNNA,,
2005,CLEAN HARBORS DEER PARK LP,2027 BATTLEGROUND ROAD,DEER PARK,5,l,CLEAN HARBORS INC,P.O. BOX 390,RYLEY,,
2005,CLEAN HARBORS INC,1910 RUSSELL STREET,BALTIMORE,75.7082,l,CLEAN HARBORS INC,1829 ALLANPORT ROAD,THOROLD,,
2005,CLEAN HARBORS INC,1910 RUSSELL STREET,BALTIMORE,454.2492,l,CLEAN HARBORS INC,1829 ALLANPORT ROAD,THOROLD,,
2005,CLEAN HARBORS INC,11800 SOUTH STONY ISLAND AVENUE,CHICAGO,16750.43925,l,CLEAN HARBORS INC,1829 ALLANPORT ROAD,THOROLD,,
2005,CLEAN HARBORS INC,11800 SOUTH STONY ISLAND AVENUE,CHICAGO,17507.52125,l,CLEAN HARBORS INC,1829 ALLANPORT ROAD,THOROLD,,
2005,CLEAN HARBORS INC,11800 SOUTH STONY ISLAND AVENUE,CHICAGO,832.7902,l,CLEAN HARBORS INC,"CONCESSION ROAD, C.P. 280, 5E RANGE",THURSO,,
2005,CLEAN HARBORS INC,11800 SOUTH STONY ISLAND AVENUE,CHICAGO,11659.0628,l,CLEAN HARBORS INC,"CONCESSION ROAD, C.P. 280, 5E RANGE",THURSO,,
