name,address,city,state,zip,lat,lon,censustract,manifests,shipments,Id,Id2,Geography,tractpercentbelowpovertyline,tractmedianhhincome,kgpermanifest,kg,kgpermunicipalitypop,kgpershipment,kpgercensustractpop,EPAID,,,,,
3M COTTAGE GROVE CENTER,10746 INNOVATION ROAD-BLDG 47,COTTAGE GROVE,MN,55016,44.787403,-92.901496,714,28,573,1400000US27163071400,27163071400,"Census Tract 714, Washington County, Minnesota",2.5,65747,20.46428571,573,,1,,MND006172969,,,,,
ADVANCED CHEMICAL COMPANY,105 BELLOWS STREET,WARWICK,RI,2888,41.764283,-71.400233,210.02,40,71,1400000US44003021002,44003021002,"Census Tract 210.02, Kent County, Rhode Island",10.7,61442,1.05,42,,0.591549296,,RID059735761,,,,,
AGMET METALS INC,7800 MEDUSA STREET,OAKWOOD VILLAGE,OH,44146,41.3541565,-81.5178833,1957,108,118,1400000US39035195700,39035195700,"Census Tract 1957, Cuyahoga County, Ohio",12.3,54583,0.314814815,34,,0.288135593,,OHD986976348,,,,,
AGMET METALS INC,5533 DUNHAM RD,MAPLE HEIGHTS,OH,44137,41.409294,-81.571619,1712.04,23,24,1400000US39035171204,39035171204,"Census Tract 1712.04, Cuyahoga County, Ohio",24.2,33365,1.043478261,24,,1,,OHD986976348,,,,,
ALCOA REYNOLDS METAL CO GUM SPRING PLANT,500 EAST REYNOLDS ROAD,ARKADELPHIA,AR,71923,34.0634315,-93.0798056,9538,489,495,1400000US05019953800,5019953800,"Census Tract 9538, Clark County, Arkansas",26.8,26689,1.012269939,495,,1,,ARD008351461,,,,,
AMG VANADIUM,60790 SOUTHGATE RD,CAMBRIDGE,OH,43725,39.9935799,-81.5667114,9779,542,578,1400000US39059977900,39059977900,"Census Tract 9779, Guernsey County, Ohio",12.1,32736,1.066420664,578,,1,,OHD042319244,,,,,
"AMLON RESOURCES C/O DUATHERM, INC.",2700 AVENUE S,SAN LEON,TX,77539,29.4681852,-94.9645724,7218,26,54,1400000US48167721800,48167721800,"Census Tract 7218, Galveston County, Texas",17.8,51204,2.076923077,54,,1,,TXD981053770,,,,,
CALGON CARBON CORPORATION,200 NEVILLE ROAD,PITTSBURGH,PA,15225,40.4962425,-80.0805283,4610,2,2,1400000US42003461000,42003461000,"Census Tract 4610, Allegheny County, Pennsylvania",18,37500,1,2,,1,,PAD000736942,,,,,
CATALYST RECOVERY OF LA LLC,100 AMERICAN BLVD.,LAFAYETTE,LA,70508,30.1680946,-91.9817352,14.11,66,66,1400000US22055001411,22055001411,"Census Tract 14.11, Lafayette Parish, Louisiana",14.5,42034,1,66,,1,,LAD980622161,,,,,
CHEMICAL WASTE MANAGEMENT,35251 OLD SKYLINE RD,KETTLEMAN CITY,CA,93239,35.9674644,-120.0172653,17.01,20,23,1400000US06031001701,6031001701,"Census Tract 17.01, Kings County, California",39.1,27927,1.1,22,,0.956521739,,CAT000646117,,,,,
