receivingfacilityzipcode,zippedTract,stateID,zipPov,statePov,ntlPov,datasetZipPov,datasetStatePov,zipRace,stateRace,ntlRace,datasetZipRace,datasetStateRace,receivingFacilityAddress,addressZip,zippedTract,addressedTract,povTractFinal,datasetTractPov,raceTractFinal,datasetTractRace
78380,48355006000,48,26.2,19.2,15.8,17.77,16.48,79.13,54.72,30.71,37.77,32.1,null,null,null,null,null,null,null,null
93239,6031001701,6,14.6,14.8,15.8,17.77,16.48,93.52,59.87,30.71,37.77,32.1,null,null,null,null,null,null,null,null
77571,48201343700,48,10.7,19.2,15.8,17.77,16.48,38.62,54.72,30.71,37.77,32.1,null,null,null,null,null,null,null,null
77541,48039664501,48,21.6,19.2,15.8,17.77,16.48,55.08,54.72,30.71,37.77,32.1,null,null,null,null,null,null,null,null
70508,22055980000,22,11,22.3,15.8,17.77,16.48,20.98,39.67,30.71,37.77,32.1,null,null,null,null,null,null,null,null
76208,48121021405,48,13.3,19.2,15.8,17.77,16.48,34.06,54.72,30.71,37.77,32.1,null,null,null,null,null,null,null,null
91476,6037980024,6,5.1,14.8,15.8,17.77,16.48,19.55,59.87,30.71,37.77,32.1,null,null,null,null,null,null,null,null
85353,4013112510,4,13.7,17.2,15.8,17.77,16.48,84.97,42.26,30.71,37.77,32.1,null,null,null,null,null,null,null,null
66736,20205097300,20,13.7,13.1,15.8,17.77,16.48,5.73,21.81,30.71,37.77,32.1,null,null,null,null,null,null,null,null
15225,42003461000,42,18,13.3,15.8,17.77,16.48,3.56,20.59,30.71,37.77,32.1,null,null,null,null,null,null,null,null
84029,49045130800,49,5.5,13.4,15.8,17.77,16.48,3.34,19.6,30.71,37.77,32.1,null,null,null,null,null,null,null,null
16117,42073011800,42,13.4,13.3,15.8,17.77,16.48,3.37,20.59,30.71,37.77,32.1,null,null,null,null,null,null,null,null
45879,39125960500,39,14.5,16.2,15.8,17.77,16.48,9.27,18.9,30.71,37.77,32.1,null,null,null,null,null,null,null,null
60622,17031842300,17,17.4,14,15.8,17.77,16.48,42.35,36.45,30.71,37.77,32.1,null,null,null,null,null,null,null,null
48211,26163985900,26,45.1,16.8,15.8,17.77,16.48,74.12,23.48,30.71,37.77,32.1,null,null,null,null,null,null,null,null
71730,5139951000,5,22.4,20.8,15.8,17.77,16.48,40.21,25.5,30.71,37.77,32.1,null,null,null,null,null,null,null,null
72320,5077470100,5,48.6,20.8,15.8,17.77,16.48,55.57,25.5,30.71,37.77,32.1,null,null,null,null,null,null,null,null
60617,17031838800,17,27.1,14,15.8,17.77,16.48,92.46,36.45,30.71,37.77,32.1,null,null,null,null,null,null,null,null
97812,41021960100,41,15.6,17.4,15.8,17.77,16.48,15.32,21.59,30.71,37.77,32.1,null,null,null,null,null,null,null,null
44146,39035195700,39,12.6,16.2,15.8,17.77,16.48,62.99,18.9,30.71,37.77,32.1,null,null,null,null,null,null,null,null
74501,40121486800,40,18.4,18.8,15.8,17.77,16.48,30.26,31.35,30.71,37.77,32.1,null,null,null,null,null,null,null,null
69145,31105954500,31,9.5,12.4,15.8,17.77,16.48,11.23,17.86,30.71,37.77,32.1,null,null,null,null,null,null,null,null
77539,48167723400,48,12.8,19.2,15.8,17.77,16.48,46.4,54.72,30.71,37.77,32.1,null,null,null,null,null,null,null,null
44707,39151713201,39,35.7,16.2,15.8,17.77,16.48,39.38,18.9,30.71,37.77,32.1,null,null,null,null,null,null,null,null
